brain,checkpoint,mode,cue,mean_lifetime,mean_active_fraction,mean_concentration,P_peak_activity,P_cumulative_activity,P_mean_activity,P_peak_step,P_final_activity,trial_similarity,mean_total_activity,recall_to_P_cue_similarity,destination_experience_similarity,settled_experience_similarity,A_vs_F_pattern_similarity,convergence_gain_vs_disconnected,P_peak_gain_vs_disconnected,P_cumulative_gain_vs_disconnected,P_final_gain_vs_disconnected
1,0,untrained,A,120.0,0.4841666666666667,0.010359005604719787,0.41679144437282967,13.560983292503916,0.11300819410419931,93.0,0.0,1.0,30.26441068156754,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,0,untrained,F,120.0,0.48583333333333334,0.01025055493963963,0.40104352249740005,17.363795912246285,0.14469829926871905,120.0,0.40104352249740005,1.0,29.804790403366937,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,0,untrained,P,120.0,0.27749999999999997,0.017557565227228924,0.5306626417824976,12.639694028336965,0.10533078356947471,5.0,0.31738523665502616,0.9999999999999998,15.586024379617362,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,0,disconnected,A,120.0,0.4841666666666667,0.010359005604719787,0.41679144437282967,13.560983292503916,0.11300819410419931,93.0,0.0,1.0,30.26441068156754,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,0,disconnected,F,120.0,0.48583333333333334,0.01025055493963963,0.40104352249740005,17.363795912246285,0.14469829926871905,120.0,0.40104352249740005,1.0,29.804790403366937,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,0,disconnected,P,120.0,0.27749999999999997,0.017557565227228924,0.5306626417824976,12.639694028336965,0.10533078356947471,5.0,0.31738523665502616,0.9999999999999998,15.586024379617362,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,0,shared,A,120.0,0.4841666666666667,0.010359005604719787,0.41679144437282967,13.560983292503916,0.11300819410419931,93.0,0.0,1.0,30.26441068156754,0.025157838563935473,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,0,shared,F,120.0,0.48583333333333334,0.01025055493963963,0.40104352249740005,17.363795912246285,0.14469829926871905,120.0,0.40104352249740005,1.0,29.804790403366937,0.5814919617729636,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,0,shared,P,120.0,0.27749999999999997,0.017557565227228924,0.5306626417824976,12.639694028336965,0.10533078356947471,5.0,0.31738523665502616,0.9999999999999998,15.586024379617362,0.9999999999999998,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,100,untrained,A,120.0,0.4841666666666667,0.010359005604719787,0.41679144437282967,13.560983292503916,0.11300819410419931,93.0,0.0,1.0,30.26441068156754,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
