step,total_activity,P_activity
1,6.592741377981447,0.6061530481498819
2,14.905320972546438,0.7142724335475974
3,24.699825645532393,0.6985747567864128
4,34.35664644539868,0.6169130369300864
5,42.70411878279109,0.5238209374405789
6,48.85865393323214,0.44851841137161136
7,52.895400906894906,0.3940347774697037
8,54.927761536143024,0.3551118578693065
9,54.98068885400981,0.3275387464807348
10,53.69208147572807,0.30882775502075593
11,51.842938259282725,0.29733253968983253
12,49.914175831434264,0.2919873715677559
13,48.119354973204054,0.29204904098676054
14,46.5458442778303,0.2968483755887841
15,45.22451780361722,0.3055495217810803
16,44.171353262071946,0.3169915420277135
17,43.369663085038425,0.3296696442782298
18,42.78986101771381,0.34191922871791314
19,42.390640213033535,0.35223252246460474
20,42.09382816542691,0.3595653716776632
21,41.83118633393046,0.3635595981491364
22,41.54550752277085,0.36445257552377963
23,41.19877216876089,0.3628724120754294
24,40.809830009745106,0.3596002707256476
25,40.399559499139414,0.3553790946359002
26,39.95816710664878,0.3508571473783015
27,39.483134448797735,0.3465331530011219
28,38.979100063793645,0.34274639580588895
29,38.58092741067737,0.3396897582691785
30,38.32292298776318,0.3373904141667384
31,38.130982855500264,0.3358310845512519
32,37.993377343103965,0.3349740821496019
33,37.92125071326217,0.33472234488038405
34,37.88487036688342,0.33494720385344295
35,37.89068902361926,0.33552166649687115
36,37.93582211600521,0.3363032666133985
37,38.01517193924954,0.33716530911614373
38,38.115963035344876,0.33800189974192657
39,38.23602211285818,0.3387394078251316
40,38.36148871731869,0.33933026226901897
41,38.48160393978375,0.33975796999068797
42,38.587298632758404,0.34002691278945857
43,38.67532819400687,0.3401566160466025
44,38.74393081495659,0.3401728430917026
45,38.79282545632625,0.34010430154405613
46,38.823633796326604,0.33997838298028027
47,38.838985736122005,0.339818434937352
48,38.84203437862025,0.3396427677833307
49,38.83598125538025,0.3394646099362596
50,38.82374393866326,0.33929279764167786
51,38.81174205135113,0.33913277139649634
52,38.80282178557421,0.338986003843036
53,38.79784733674435,0.3388540272575979
54,38.7971803613895,0.33873869541335916
55,38.80066300070603,0.33864225648945556
56,38.80775849175885,0.33856721487485547
57,38.81764608911246,0.3385159311830138
58,38.82932881557235,0.3384901538032421
59,38.841739569039035,0.3384905518169174
60,38.853840258381084,0.338516352734602
61,38.86470182417043,0.33856514224931683
62,38.874490120907225,0.3386328636643425
63,38.881998076850095,0.33871363911038765
