step,total_activity,P_activity
1,3.7583051179460396,0.0
2,6.987274389611748,0.0
3,10.389402391784946,0.0
4,13.653531091549628,0.0
5,16.67492346690168,0.0
6,19.628400596627444,0.0
7,22.64586423101688,0.0
8,25.786746394620202,0.0
9,29.173648956742646,0.0
10,32.8706601489649,0.0
11,36.6049307897445,0.0
12,40.34193840055826,0.0
13,43.863158269795875,0.0
14,46.979123900181136,0.0
15,49.77104571455175,0.0
16,51.96374123768907,0.0
17,53.62390480094763,0.0
18,54.59678870236873,0.0
19,54.90862251191055,0.0
20,54.836681706844836,0.0
21,54.4972835362781,0.0
22,53.94059986736899,0.0
23,53.17130206292708,0.0
24,52.24746530094541,0.0
25,51.13342429995957,0.0
26,49.90256923159694,0.0
27,48.59558137245294,0.0
28,47.5437402593933,0.0
29,46.688964851538366,0.0
30,46.04225095384997,0.0
31,45.596740090610396,0.0
32,45.28365486255957,0.0
33,45.064800155489486,0.0
34,44.90638370083481,0.0
35,44.78948397128187,0.0
36,44.69407209653683,0.0
37,44.6334477209947,0.0
38,44.56517579851832,0.0
39,44.49993112258004,0.0
40,44.45430322013074,0.0
41,44.466165180970876,0.0
42,44.56169031184663,0.0
43,44.716360896789084,0.0
44,44.91043057318677,0.0
45,45.15216670892714,0.0
46,45.40857932318787,0.0
47,45.67618757286071,0.0
48,45.938356159755344,0.0
49,46.19217329904092,0.0
50,46.44276656170221,0.0
51,46.658408968286565,0.0
52,46.8265285845447,0.0
53,46.958741524875094,0.0
54,47.04485787286692,0.0
55,47.0877435903682,0.0
56,47.10355581053102,0.0
57,47.097529773180156,0.0
58,47.07214886344597,0.0
59,47.04141067198943,0.0
60,47.005308854765715,0.0
61,46.95624788656666,0.0
62,46.8888747108447,0.0
63,46.780467234740044,0.0
64,46.61523450768706,0.0
65,46.39611381622574,0.0
66,46.091234940752244,0.0
67,45.74072919664915,0.0
68,45.365199548769155,0.0
69,45.13456094368662,0.0
70,44.87085754359059,0.0
71,44.714000235553016,0.0
72,44.57557695305792,0.0
73,44.44938862433669,0.0
74,44.426815386222515,0.0
75,44.412785162299066,0.0
76,44.41375713746403,0.0
77,44.44239016363194,0.0
78,44.47607814217352,0.0
79,44.52141694074288,0.0
80,44.575550339782225,0.0
81,44.64633227530697,0.0
82,44.73883255649538,0.0
83,44.86046176210266,0.0
84,45.01363839826903,0.0
85,45.21205444830164,0.0
86,45.47258653842169,0.0
87,45.78853679610228,0.0
88,46.148775297975924,0.0
89,46.52499443778679,0.0
90,46.90345913593909,0.0
91,47.23975539611696,0.0
92,47.514999183012364,0.0
93,47.74109629423067,0.0
94,47.904505730401524,0.0
95,48.008951145522495,0.0
96,48.06950351601317,0.0
97,48.0960679795065,0.0
98,48.09811503456369,0.0
99,48.083929879845336,0.0
100,48.04946954489924,0.0
101,47.98581741516281,0.0
102,47.878653958349986,0.0
103,47.71715837357422,0.0
104,47.4986047139684,0.0
105,47.18988736949878,0.0
106,46.79631281981792,0.0
107,46.31843650729611,0.0
108,45.78243917615379,0.0
109,45.34567226961733,0.0
110,44.98693739309815,0.0
111,44.75144144820369,0.0
112,44.57391859177619,0.0
113,44.41871743535661,0.0
114,44.366400348834446,0.0
115,44.31853788112049,0.0
116,44.29713967532598,0.0
117,44.29609232197557,0.0
118,44.301807711582555,0.0
119,44.311500009262105,0.0
120,44.32108656361359,0.0
