source,target,before,after,delta
0,1,0.40630803629598405,0.4063080362960052,2.1149748619109232e-14
0,2,0.39762430896924195,0.397624308969295,5.306866057708248e-14
0,3,0.4316026288194472,0.43160262881962286,1.7563728249569976e-13
0,4,0.4174388955959258,0.4174388955961809,2.5512925105886097e-13
0,5,0.43019017538448234,0.4301901753850171,5.347389198107066e-13
0,6,0.4255484795249866,0.4255484795250048,1.8207657603852567e-14
0,7,0.43053247206145756,0.43053247206149003,3.247402347028583e-14
0,8,0.4413506818553433,0.44135068185600734,6.640243910283061e-13
1,0,0.40264038048747,0.4026403804874796,9.603429163007604e-15
1,2,0.41610400290933,0.4161040029093361,6.106226635438361e-15
1,3,0.418532625027181,0.41853262502719824,1.7208456881689926e-14
1,4,0.4019851719962919,0.40198517199633405,4.213296378452469e-14
1,6,0.42605274532347515,0.4260527453234765,1.3322676295501878e-15
1,9,0.4177488620530662,0.4177488620531788,1.1257661469699087e-13
1,11,0.4254165400316783,0.42541654003168833,1.0047518372857667e-14
1,14,0.4300058238863828,0.4300058238863898,6.994405055138486e-15
2,0,0.4164048323491438,0.4164048323491861,4.2299497238218464e-14
2,1,0.4258105235578241,0.42581052355783733,1.3211653993039363e-14
2,3,0.41907097498106444,0.4190709749811613,9.686695889854491e-14
2,4,0.4041587800848424,0.40415878008499717,1.5476508963274682e-13
2,5,0.4481508535255953,0.4481508535258813,2.859934511434403e-13
2,7,0.42675862103698886,0.4267586210370096,2.0761170560490427e-14
2,10,0.413343195138196,0.4133431951383553,1.5931700403370996e-13
2,12,0.4191632038379936,0.4191632038383618,3.6820546611693317e-13
2,15,0.40450319475367336,0.4045031947536985,2.5146551507759796e-14
3,0,0.39685946964323154,0.3968594696434941,2.625677453238495e-13
3,1,0.43410830131441874,0.4341083013144816,6.283862319378386e-14
3,2,0.41749908000330005,0.4174990800034736,1.7352785874891197e-13
3,5,0.43005253054546405,0.43005253054791637,2.452316127943277e-12
3,6,0.4278253682355061,0.42782536823555956,5.345723863570129e-14
3,8,0.40992554917483826,0.40992554917787544,3.0371816173158095e-12
3,11,0.40725187740305646,0.40725187740333857,2.821076705572523e-13
3,13,0.40820428271807163,0.40820428272426107,6.1894378511340165e-12
3,16,0.41700838715729716,0.4170083871606936,3.39644978808451e-12
4,0,0.4216627739777054,0.4216627739777951,8.970602038971265e-14
4,1,0.4161435108293962,0.41614351082944623,5.00155472593633e-14
4,2,0.4258321038378811,0.4258321038379597,7.860379014346108e-14
4,6,0.41246507129236276,0.41246507129240667,4.390932062392494e-14
4,7,0.38919568723990233,0.3891956872399939,9.159339953157541e-14
4,9,0.3984863882784886,0.39848638828040717,1.918576408854733e-12
4,12,0.4302509272428069,0.43025092724452996,1.723066134218243e-12
4,17,0.4011746826276787,0.4011746826467685,1.9089785308068485e-11
5,0,0.4152436167081988,0.41524361670941423,1.2154166562083901e-12
