brain,checkpoint,mode,winner,c_integral,c_peak,c_first_step,b_integral,d_integral,c_selectivity,c_ratio,c_change_from_baseline,terrain_total_change,terrain_changed_edges
1,0,reflected,D,0.0,0.0,-1,4.532723815683895e-08,6.735096705518369e-07,-3.5941845435433794e-07,0.0,0.0,0.0,0
1,0,control,D,0.0,0.0,-1,4.532723815683895e-08,6.735096705518369e-07,-3.5941845435433794e-07,0.0,0.0,0.0,0
1,1,control,D,0.0,0.0,-1,4.53340785424548e-08,6.736187687809824e-07,-3.594764236617186e-07,0.0,0.0,0.012076833642966411,733
1,1,reflected,D,0.0,0.0,-1,4.5340900894534644e-08,6.737255164632761e-07,-3.5953320867890536e-07,0.0,0.0,0.03647355446210354,1972
1,5,control,D,0.0,0.0,-1,4.535936346777447e-08,6.740220274502286e-07,-3.5969069545900154e-07,0.0,0.0,0.05834159756874552,871
1,5,reflected,D,0.0,0.0,-1,4.53924138023774e-08,6.745392037111182e-07,-3.599658087567478e-07,0.0,0.0,0.17951733557391147,1972
1,10,control,D,0.0,0.0,-1,4.539176936031212e-08,6.745388233647637e-07,-3.5996529636253793e-07,0.0,0.0,0.11821418992108562,928
1,10,reflected,D,0.0,0.0,-1,4.545729499680474e-08,6.755641782886012e-07,-3.6051073664270294e-07,0.0,0.0,0.3601013811113032,1972
