source,target,before,after,delta
0,1,0.4238079062664172,0.4238079062664374,2.020605904817785e-14
0,2,0.400710110163205,0.4007101101632554,5.040412531798211e-14
0,3,0.43035791460249345,0.4303579146026596,1.6614487563515468e-13
0,4,0.42535293393543694,0.42535293393567875,2.418065747633591e-13
0,5,0.4248020870779227,0.42480208707843686,5.1414428270391e-13
0,6,0.41788040851994585,0.41788040851996366,1.7819079545233762e-14
0,7,0.4118967540884766,0.41189675408850784,3.1252778143198157e-14
0,8,0.42355984239401623,0.42355984239464767,6.314393452555578e-13
1,0,0.41167717375149937,0.41167717375150864,9.270362255620057e-15
1,2,0.42148429078929406,0.4214842907892995,5.440092820663267e-15
1,3,0.42630679041650776,0.42630679041652375,1.5987211554602254e-14
1,4,0.4306903464952378,0.4306903464952773,3.952393967665557e-14
1,6,0.4149117494264795,0.4149117494264807,1.1657341758564144e-15
1,9,0.4233193407697994,0.4233193407699042,1.0480505352461478e-13
1,11,0.41581940444023363,0.41581940444024384,1.021405182655144e-14
1,14,0.4339421247306175,0.433942124730624,6.494804694057166e-15
2,0,0.4247823740802419,0.42478237408028297,4.107825191113079e-14
2,1,0.4243816825466099,0.4243816825466221,1.2212453270876722e-14
2,3,0.41874025251982633,0.41874025251991837,9.203748874142548e-14
2,4,0.4175843656215583,0.41758436562170537,1.4704903961160198e-13
2,5,0.42093325650762076,0.42093325650789726,2.7650104428289524e-13
2,7,0.4090013492569951,0.40900134925701537,2.0261570199409107e-14
2,10,0.39672874773613487,0.396728747736294,1.591504705800162e-13
2,12,0.4092415946343029,0.40924159463465015,3.4727776210274897e-13
2,15,0.4081022057940206,0.40810220579404577,2.5146551507759796e-14
3,0,0.43821506510794234,0.4382150651081906,2.48245868306185e-13
3,1,0.42195413774179896,0.42195413774185764,5.867528685143952e-14
3,2,0.43936343303888625,0.4393634330390503,1.6403545188836688e-13
3,5,0.41930769132190354,0.4193076913242616,2.3580581931526012e-12
3,6,0.426396728084636,0.4263967280846869,5.090372567906343e-14
3,8,0.41234691134884816,0.41234691135171914,2.8709812305294236e-12
3,11,0.4226239547172035,0.42262395471747966,2.761679773755077e-13
3,13,0.4493200186254549,0.44932001863138443,5.929534641069267e-12
3,16,0.39735876656223745,0.3973587665655094,3.271938275872799e-12
4,0,0.41956214624439414,0.41956214624447674,8.260059303211165e-14
4,1,0.42297209019392956,0.4229720901939763,4.674038933671909e-14
