brain,checkpoint,mode,cue,mean_lifetime,mean_active_fraction,mean_concentration,trial_similarity,mean_total_activity,region_A_activity,region_P_activity,region_C_activity,region_F_activity,region_M_activity,own_settled_similarity,other_settled_similarity,experience_selectivity,branch_selectivity,A_vs_F_pattern_similarity,shared_hub_gain_vs_disconnected,shared_separation_change_vs_disconnected
1,0,untrained,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.2811347208767447,0.0,0.0,0.10845811853326089,0.0697920951450984,0.0,0.0,0.0,-0.0697920951450984,0.34210423552307684,0.0,0.0
1,0,untrained,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.07202635579793866,0.31329806967722634,0.40556418735064853,0.3701662122222317,0.17302671884173723,0.0,0.0,0.0,-0.2325374685089113,0.34210423552307684,0.0,0.0
1,0,untrained,P,120.0,0.4925,0.010233221745030434,1.0,29.515821630763867,0.0,0.31570401928623437,0.14675833719638767,0.19321864274257908,0.003248085259386294,0.0,0.0,0.0,0.0,0.34210423552307684,0.0,0.0
1,0,disconnected,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.2811347208767447,0.0,0.0,0.10845811853326089,0.0697920951450984,0.0,0.0,0.0,-0.0697920951450984,0.34210423552307684,0.0,0.0
1,0,disconnected,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.07202635579793866,0.31329806967722634,0.40556418735064853,0.3701662122222317,0.17302671884173723,0.0,0.0,0.0,-0.2325374685089113,0.34210423552307684,0.0,0.0
1,0,disconnected,P,120.0,0.4925,0.010233221745030434,1.0,29.515821630763867,0.0,0.31570401928623437,0.14675833719638767,0.19321864274257908,0.003248085259386294,0.0,0.0,0.0,0.0,0.34210423552307684,0.0,0.0
1,0,shared,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.2811347208767447,0.0,0.0,0.10845811853326089,0.0697920951450984,0.0,0.0,0.0,-0.0697920951450984,0.34210423552307684,0.0,0.0
1,0,shared,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.07202635579793866,0.31329806967722634,0.40556418735064853,0.3701662122222317,0.17302671884173723,0.0,0.0,0.0,-0.2325374685089113,0.34210423552307684,0.0,0.0
1,0,shared,P,120.0,0.4925,0.010233221745030434,1.0,29.515821630763867,0.0,0.31570401928623437,0.14675833719638767,0.19321864274257908,0.003248085259386294,0.0,0.0,0.0,0.0,0.34210423552307684,0.0,0.0
1,100,untrained,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.2811347208767447,0.0,0.0,0.10845811853326089,0.0697920951450984,0.0,0.0,0.0,-0.0697920951450984,0.34210423552307684,0.0,0.0
1,100,untrained,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.07202635579793866,0.31329806967722634,0.40556418735064853,0.3701662122222317,0.17302671884173723,0.0,0.0,0.0,-0.2325374685089113,0.34210423552307684,0.0,0.0
1,100,untrained,P,120.0,0.4925,0.010233221745030434,1.0,29.515821630763867,0.0,0.31570401928623437,0.14675833719638767,0.19321864274257908,0.003248085259386294,0.0,0.0,0.0,0.0,0.34210423552307684,0.0,0.0
1,100,disconnected,A,120.0,0.3,0.016078264417644355,1.0,16.94833444473208,0.0,0.09362690304064436,0.32235526746428095,0.0,0.3142114980814373,0.0,0.0,0.0,0.008143769382843669,0.5541046044364665,0.0,0.0
1,100,disconnected,F,120.0,0.8533333333333333,0.0055268544020664724,1.0000000000000002,48.23120352106024,0.15591695933346875,0.3803991221275047,0.42248063561937077,0.21552943633113206,0.09614875798047755,0.0,0.0,0.0,-0.3263318776388932,0.5541046044364665,0.0,0.0
1,100,disconnected,P,120.0,0.77,0.006144337779336748,1.0,53.693660405033015,0.0,0.24911271302893506,0.33197137348709804,0.42585964505741564,0.4469588545813382,0.0,0.0,0.0,0.0,0.5541046044364665,0.0,0.0
1,100,shared,A,120.0,0.8125,0.005761184650161069,1.0000000000000002,54.30245959758703,0.27365949359964387,0.3183277921473516,0.30920400500938755,0.14974929966491016,0.44084728534062895,0.7801104202279496,0.7702191124827413,0.0098913077452083,-0.1316432803312414,0.826835150340914,0.2247008891067072,-0.27273054590444756
1,100,shared,F,120.0,0.7483333333333333,0.006396349660600671,1.0000000000000002,51.00724712094698,0.3441096350412212,0.285193175552026,0.06503980656386114,0.0,0.4285856894498587,0.8156053616776967,0.6742180970866679,0.1413872645910288,0.36354588288599754,0.826835150340914,-0.0952059465754787,-0.27273054590444756
1,100,shared,P,120.0,0.6141666666666667,0.00797594573762692,1.0,40.004373217204,0.29929881021392285,0.0060285174253002045,0.2099262198255035,0.0,0.49289433735082566,0.8319060345061678,0.6675785743796759,0.1643274601264919,0.0,0.826835150340914,-0.24308419560363487,-0.27273054590444756
1,200,untrained,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.2811347208767447,0.0,0.0,0.10845811853326089,0.0697920951450984,0.0,0.0,0.0,-0.0697920951450984,0.34210423552307684,0.0,0.0
1,200,untrained,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.07202635579793866,0.31329806967722634,0.40556418735064853,0.3701662122222317,0.17302671884173723,0.0,0.0,0.0,-0.2325374685089113,0.34210423552307684,0.0,0.0
1,200,untrained,P,120.0,0.4925,0.010233221745030434,1.0,29.515821630763867,0.0,0.31570401928623437,0.14675833719638767,0.19321864274257908,0.003248085259386294,0.0,0.0,0.0,0.0,0.34210423552307684,0.0,0.0
1,200,disconnected,A,120.0,0.5741666666666667,0.008510910607287812,1.0,36.52989554599864,0.0,0.2367693670662021,0.17592084447745826,0.0,0.25340635981164294,0.0,0.0,0.0,-0.07748551533418468,0.31798070464397316,0.0,0.0
1,200,disconnected,F,120.0,0.5266666666666666,0.009447859418858041,1.0,32.3165668925102,0.24808045014851987,0.0034693230311050095,0.03803613055008716,0.0,0.0007800207496375622,0.0,0.0,0.0,-0.0372561098004496,0.31798070464397316,0.0,0.0
1,200,disconnected,P,120.0,0.4625,0.010442466393247503,1.0,32.03282158507285,0.3115909656664893,0.13948001518298553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31798070464397316,0.0,0.0
1,200,shared,A,120.0,0.5316666666666667,0.008871866008042024,0.9999999999999998,38.32318134078494,0.004312995475265236,0.4401530294865596,0.33302057675678925,0.0,0.46131070177787176,0.6004804824433814,0.6190581164763637,-0.018577634032982293,-0.1282901250210825,0.35978606328522256,0.2033836624203575,-0.0418053586412494
1,200,shared,F,120.0,0.725,0.0065853219222716365,0.9999999999999998,44.35319608629019,0.2990209056149313,0.002538251014414353,0.0,0.3668717001747082,0.0,0.7566099599496354,0.7778279825795131,-0.02121802262987771,0.0,0.35978606328522256,-0.0009310720166906565,-0.0418053586412494
1,200,shared,P,120.0,0.6633333333333333,0.007354241518201997,0.9999999999999998,41.977115929282576,0.2990330228279734,0.0,0.26786984266760977,0.002637515909772957,0.3170225226522432,0.8512852376472785,0.7780316501494717,0.07325358749780675,0.0,0.35978606328522256,-0.13948001518298553,-0.0418053586412494
1,300,untrained,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.2811347208767447,0.0,0.0,0.10845811853326089,0.0697920951450984,0.0,0.0,0.0,-0.0697920951450984,0.34210423552307684,0.0,0.0
1,300,untrained,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.07202635579793866,0.31329806967722634,0.40556418735064853,0.3701662122222317,0.17302671884173723,0.0,0.0,0.0,-0.2325374685089113,0.34210423552307684,0.0,0.0
1,300,untrained,P,120.0,0.4925,0.010233221745030434,1.0,29.515821630763867,0.0,0.31570401928623437,0.14675833719638767,0.19321864274257908,0.003248085259386294,0.0,0.0,0.0,0.0,0.34210423552307684,0.0,0.0
1,300,disconnected,A,120.0,0.6508333333333333,0.007504775113002041,0.9999999999999998,42.14910842828277,0.0,0.0,0.31466158151576945,0.3407315713901977,0.1323082840108408,0.0,0.0,0.0,0.18235329750492865,0.45717208956594146,0.0,0.0
1,300,disconnected,F,120.0,0.5341666666666667,0.009055028515588835,1.0,34.430114973797984,0.3084060905562604,0.0,0.060410805270393095,0.0,0.0014923398181092209,0.0,0.0,0.0,-0.05891846545228387,0.45717208956594146,0.0,0.0
1,300,disconnected,P,120.0,0.5158333333333334,0.009377260334741403,1.0,29.88479686662229,0.3546923060069436,0.1448510723558167,0.21225610684556542,0.0,0.017299953505867573,0.0,0.0,0.0,0.0,0.45717208956594146,0.0,0.0
1,300,shared,A,120.0,0.6125,0.007846278962787355,0.9999999999999998,38.09233866436306,0.0,0.0,0.0,0.2727760839765594,0.0858383477707434,0.7579607784434286,0.5803828962336521,0.17757788220977644,-0.0858383477707434,0.7028246775372272,0.0,-0.24565258797128575
1,300,shared,F,120.0,0.6466666666666667,0.007539733015709342,1.0,43.855826612349595,0.0,0.006067180243176017,0.1175949622050719,0.2863991972503574,0.0,0.6417595289242282,0.7682797556177458,-0.1265202266935176,-0.1175949622050719,0.7028246775372272,0.006067180243176017,-0.24565258797128575
1,300,shared,P,120.0,0.5783333333333334,0.00849043371249327,1.0,37.93989385418346,0.35713291522052115,0.2139233950470853,0.4161425167180467,0.0,0.3770419597823666,0.7091253293195104,0.5467067841319192,0.16241854518759125,0.0,0.7028246775372272,0.06907232269126859,-0.24565258797128575
1,400,untrained,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.2811347208767447,0.0,0.0,0.10845811853326089,0.0697920951450984,0.0,0.0,0.0,-0.0697920951450984,0.34210423552307684,0.0,0.0
1,400,untrained,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.07202635579793866,0.31329806967722634,0.40556418735064853,0.3701662122222317,0.17302671884173723,0.0,0.0,0.0,-0.2325374685089113,0.34210423552307684,0.0,0.0
1,400,untrained,P,120.0,0.4925,0.010233221745030434,1.0,29.515821630763867,0.0,0.31570401928623437,0.14675833719638767,0.19321864274257908,0.003248085259386294,0.0,0.0,0.0,0.0,0.34210423552307684,0.0,0.0
1,400,disconnected,A,120.0,0.4208333333333333,0.011550910039260145,1.0,30.17861699139953,0.0,0.23788542383639671,0.000302692767090609,0.0033027609931684286,0.0,0.0,0.0,0.0,0.000302692767090609,0.31033785185692336,0.0,0.0
1,400,disconnected,F,120.0,0.545,0.008761478499024554,1.0,35.99871752320702,0.3298790155982077,0.4484144489062715,0.01932676662674903,0.0,0.0,0.0,0.0,0.0,-0.01932676662674903,0.31033785185692336,0.0,0.0
1,400,disconnected,P,120.0,0.7133333333333333,0.006667313396872816,1.0,53.064015944695555,0.47758844115974214,0.22004480482594052,0.38131124821087603,0.172296870052261,0.07956291644176121,0.0,0.0,0.0,0.0,0.31033785185692336,0.0,0.0
1,400,shared,A,120.0,0.7025,0.006873713099038366,0.9999999999999998,41.64427513980554,0.0007567213425415667,0.0,0.3418926966696052,0.3139417716826056,0.2768092351253543,0.8293313689211217,0.7534981780563883,0.07583319086473339,0.06508346154425088,0.7073894772118839,-0.23788542383639671,-0.3970516253549606
1,400,shared,F,120.0,0.4333333333333334,0.011577336702048798,1.0,30.429370187920565,0.027157016241374322,0.0005793357334470154,0.4163540606251563,0.0,0.2746581267658728,0.6087956808258526,0.5858277257016733,0.022967955124179262,-0.14169593385928347,0.7073894772118839,-0.4478351131728245,-0.3970516253549606
1,400,shared,P,120.0,0.3325,0.015348692651151578,1.0,21.714874552679824,0.37259815021781023,0.0,0.0,0.0,0.0,0.5374856521119022,0.3470163249488242,0.19046932716307807,0.0,0.7073894772118839,-0.22004480482594052,-0.3970516253549606
1,500,untrained,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.2811347208767447,0.0,0.0,0.10845811853326089,0.0697920951450984,0.0,0.0,0.0,-0.0697920951450984,0.34210423552307684,0.0,0.0
1,500,untrained,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.07202635579793866,0.31329806967722634,0.40556418735064853,0.3701662122222317,0.17302671884173723,0.0,0.0,0.0,-0.2325374685089113,0.34210423552307684,0.0,0.0
1,500,untrained,P,120.0,0.4925,0.010233221745030434,1.0,29.515821630763867,0.0,0.31570401928623437,0.14675833719638767,0.19321864274257908,0.003248085259386294,0.0,0.0,0.0,0.0,0.34210423552307684,0.0,0.0
1,500,disconnected,A,120.0,0.19,0.027710960275316655,1.0,11.391002973310403,0.0,0.43418755913195106,0.03672769743009071,0.0,0.0,0.0,0.0,0.0,0.03672769743009071,0.4644188280355947,0.0,0.0
1,500,disconnected,F,120.0,0.45666666666666667,0.010577588538517323,0.9999999999999998,31.04773234376724,0.4176698767110789,0.4104103934354894,0.006323717173831825,0.0,0.0,0.0,0.0,0.0,-0.006323717173831825,0.4644188280355947,0.0,0.0
1,500,disconnected,P,120.0,0.4533333333333333,0.011497432270003018,0.9999999999999998,25.560445616749817,0.33398452341690965,0.14207581633522728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4644188280355947,0.0,0.0
1,500,shared,A,120.0,0.7291666666666666,0.006787654144029912,1.0,43.32308634222375,0.0,0.0,0.27516692556753325,0.314392779890583,0.43709948004329185,0.869655520427033,0.7643537568436102,0.1053017635834228,-0.1619325544757586,0.6721699494884337,-0.43418755913195106,-0.20775112145283897
1,500,shared,F,120.0,0.5041666666666667,0.01003453056497566,1.0,32.793899839217346,0.05795992121626067,0.0,0.38054280792997774,0.0,0.1474771469886497,0.6908169052067198,0.6551589148218371,0.03565799038488271,-0.23306566094132805,0.6721699494884337,-0.4104103934354894,-0.20775112145283897
1,500,shared,P,120.0,0.38250000000000006,0.012759910702868115,1.0,23.10559103282992,0.3449273337512489,0.0,0.0,0.0,0.0,0.6205146308062389,0.4158006083699163,0.20471402243632264,0.0,0.6721699494884337,-0.14207581633522728,-0.20775112145283897
