step,total_activity,target_mean_activity,path_activity,closest_active_distance_to_target,closest_active_node,closest_meaningful_distance_to_target,closest_meaningful_node,furthest_meaningful_path_index
1,0.9839614055381355,0.0,0.24402315583049444,1.8450455516663602,178,1.8450455516663602,178,1
2,0.4533165302683783,0.0,0.07983115592512435,1.6703048026639198,212,1.6703048026639198,212,2
3,0.15049456428115743,0.0,0.01332959336376684,1.4634706066537941,233,1.6295307022292014,120,2
4,0.04382873813032143,0.0,0.0028764584214514923,1.2164553387636423,235,1.6295307022292014,120,2
5,0.01035349838096222,0.0,0.00040872135317310347,0.9937174675745841,232,1.6295307022292014,120,2
