step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue
1,2.5585509307835026,17,0.07083333333333333,0.11137797074591702,-0.3134752639772258,0.8783164703690353,-0.220737514959786,0.00032475952641916454
2,4.1721158123492295,19,0.07916666666666666,0.06603771995306176,-0.3041472668161545,0.8649609491979117,-0.2137027777672867,0.0007720118732991547
3,6.246809431336903,29,0.12083333333333333,0.05003451623483747,-0.29758504755921267,0.8503980561406914,-0.20654188531671758,0.0014770824007847199
4,8.724273159151235,33,0.1375,0.040298899810414165,-0.2927083780572757,0.8351948334955814,-0.19905605110397123,0.002500650929081917
5,11.360892960265462,40,0.16666666666666666,0.03358469451882692,-0.28767420189753834,0.8194456363861867,-0.19031866914017168,0.0038863870535145815
6,13.995799983014214,45,0.1875,0.028441323755683964,-0.2810691140187943,0.8019485781001048,-0.18272082136999715,0.005627915778212898
7,16.52992494508031,51,0.2125,0.02439235607498065,-0.2740745584100269,0.7814799743778437,-0.1779989353398337,0.007689336697206772
8,18.916404176147676,59,0.24583333333333332,0.021220244101300842,-0.26750817615717803,0.7588696995452987,-0.17362297780725916,0.010019763954688654
9,21.13406452627706,64,0.26666666666666666,0.018745371956000942,-0.2604438970258603,0.7351058637032132,-0.1692214753714438,0.012564613342247477
10,23.324236476899717,73,0.30416666666666664,0.016608357253954247,-0.2517330101539974,0.7080484081634618,-0.16588218423972587,0.01527078910669968
11,25.464674046779656,80,0.3333333333333333,0.014850416185254626,-0.24251987723220822,0.6791813635654566,-0.1619031198462114,0.018117004535448407
12,27.528296580923165,83,0.3458333333333333,0.013480914801114486,-0.23322749659834358,0.6493743267153526,-0.15704318262793948,0.021079930465674752
13,29.61222796505309,92,0.38333333333333336,0.012323490641622258,-0.22185606000522956,0.6174637577893317,-0.15080798397265158,0.024133493028030372
14,31.651469206805718,102,0.425,0.011363941787638035,-0.20921482780898226,0.5840253091440553,-0.1443861611384653,0.027272436468674787
15,33.58287022986569,107,0.44583333333333336,0.010601657528026788,-0.1967319810499442,0.5493449823693529,-0.13753948570323063,0.030479843298083384
16,35.37123013565609,115,0.4791666666666667,0.010001361626616849,-0.18390856333560984,0.5138214618148091,-0.12811657018473632,0.03372864713637487
17,37.02220942719956,122,0.5083333333333333,0.009502556681357731,-0.1697401042297912,0.4760438180111563,-0.11923403707718801,0.036987888073172895
18,38.47189576920495,128,0.5333333333333333,0.009113515641061758,-0.15541123677558047,0.4355808430947641,-0.11035317847971478,0.04023076353345552
