step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue
1,3.7963180935393637,15,0.0625,0.09115850927966967,0.4989471725432639,-0.015560450392851196,-0.815235076944278,0.00032475952641916454
2,7.2486778719077725,24,0.1,0.05915959337892024,0.4959306031106195,-0.026514285860733525,-0.7917274251964476,0.0010040932163158788
3,11.162128458093356,29,0.12083333333333333,0.04331439645879974,0.49178174412349457,-0.037547817042094665,-0.7678028882104274,0.002262810995666998
4,14.93957046459031,39,0.1625,0.03440167141051689,0.4840026432774621,-0.049870865184660676,-0.7440272601757741,0.004129428981992802
5,18.3576914290911,46,0.19166666666666668,0.027753522228029702,0.47118469923085443,-0.06206806364267695,-0.7187750161665398,0.0065176555459042045
6,21.712999818894904,57,0.2375,0.02255184580374283,0.45168851951104233,-0.07015526757409574,-0.6911473678086338,0.009307957134268368
7,25.504993549269315,67,0.2791666666666667,0.018273217172357845,0.4256498075899559,-0.07947000892965492,-0.6569945404381848,0.012448348886884324
8,29.693179049236193,76,0.31666666666666665,0.01523005042630925,0.3947074030478547,-0.08348956945474442,-0.6200377684972815,0.015985700288683888
9,34.238151490813976,90,0.375,0.013037099941247233,0.3580057174137491,-0.0899355129109793,-0.5791460722114661,0.01995460133154729
10,38.69121198572139,100,0.4166666666666667,0.011494146989162943,0.3200535011337343,-0.09911668978721132,-0.5356436131925394,0.02437879460292018
11,42.6254377976918,112,0.4666666666666667,0.01042484212847615,0.282568057072525,-0.11477089018822978,-0.48950210727585286,0.029195517389950923
12,45.63792296071977,117,0.4875,0.009698099820488613,0.2450896514657035,-0.1353481774795737,-0.4435348135125684,0.03426823523802304
13,47.41641596009279,124,0.5166666666666667,0.009277386563644754,0.207340112207613,-0.1536754556773837,-0.4005037781040767,0.03939852226935569
14,48.059444469661486,134,0.5583333333333333,0.009037818074990382,0.16657002014258476,-0.1697734399455634,-0.3574880888661439,0.044349248034937526
15,47.721306815979645,129,0.5375,0.008992582009569634,0.1267591041582327,-0.18083298325968342,-0.31627406324651786,0.048925469069505303
16,47.07131218789684,129,0.5375,0.008957860909211236,0.09272432583268932,-0.185988216562272,-0.2816842835984407,0.05298066719055095
17,46.03850034368397,131,0.5458333333333333,0.00893054297803911,0.06312774957798101,-0.18808034151049768,-0.24916960481616104,0.05650847150672651
18,44.79935233401233,133,0.5541666666666667,0.008865883874417911,0.04129821405424335,-0.18595410472710083,-0.219133585469649,0.0594898431704946
19,43.18671519256698,130,0.5416666666666666,0.008855182676126887,0.02416941119776958,-0.1784166972871656,-0.19073516009026864,0.06194073741607246
20,41.365046173488814,131,0.5458333333333333,0.008894220929334224,0.009372599528919385,-0.16389463491421233,-0.16470198515848045,0.06384417277307151
21,39.664103181977325,131,0.5458333333333333,0.008880074612282213,-0.0010652464254674574,-0.14848951787708464,-0.1399319436995494,0.06521570165329353
22,37.86484562644182,132,0.55,0.008932953477364919,-0.010850037909887936,-0.12938786886543097,-0.11404210429099251,0.06613115083458491
23,36.10769542165334,130,0.5416666666666666,0.009044712136054737,-0.019662038243481908,-0.10797230163424294,-0.0851794617988365,0.06661769430608427
24,34.61491933844506,127,0.5291666666666667,0.009121018117258753,-0.02415843257834302,-0.08684485411710857,-0.05419032733266508,0.06672611776703587
25,33.148183997665605,126,0.525,0.009317326816256752,-0.0263979361365349,-0.05877901280959469,-0.02047957868001504,0.06654380336629072
26,31.71719892241562,122,0.5083333333333333,0.009700201655630649,-0.02640614162603103,-0.023966254826735176,0.016877370339934798,0.06610470752922395
27,30.62503369744681,119,0.49583333333333335,0.01010401176469396,-0.02158724525949382,0.011651796809723452,0.05444953011870514,0.06544121157425448
28,29.821165547370637,115,0.4791666666666667,0.010526338994664836,-0.013800234893840045,0.04686647633615968,0.09365762482413205,0.0646392842351003
29,29.19260570963778,111,0.4625,0.011030155265761989,-0.000576952551164525,0.0897578813619473,0.13548956795131814,0.06376682435172228
30,29.04602083653476,108,0.45,0.011388437936830689,0.01587327788123562,0.1344816146204922,0.17452828644898274,0.06286375548710714
31,29.372808953955683,107,0.44583333333333336,0.011539672727641639,0.03135109681507471,0.17463263834299883,0.20954087090608123,0.06202350884524669
32,30.009732401120306,105,0.4375,0.011572215170940675,0.04014194450666604,0.21657113866053315,0.2356088547274336,0.06132855963958872
33,30.702932813704408,107,0.44583333333333336,0.011608133080286449,0.04357878447927334,0.25656056611034106,0.2584843222464158,0.0608225285008399
34,31.395058909073715,105,0.4375,0.01159634563611053,0.04180077796966833,0.2881553454663229,0.279652640864975,0.060497075553325494
35,32.15840834149168,107,0.44583333333333336,0.011420074909055286,0.033238940315354966,0.3095365269927689,0.2988821384032466,0.060333941543444264
36,33.02245999519242,113,0.4708333333333333,0.011092490654067153,0.018115064422580405,0.3241810693813406,0.31831074134457393,0.06033024895312953
