step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue
1,3.1485695060739705,17,0.07083333333333333,0.09373380783452158,-0.32091655083663306,0.8627470112588003,-0.2530088215322299,0.00032475952641916454
2,5.621288752652839,22,0.09166666666666666,0.060872886210836,-0.31306244071769807,0.8401392837941393,-0.27053297437857887,0.0008826403561661174
3,8.53839111427527,29,0.12083333333333333,0.047022492897728876,-0.30369508285724267,0.8176006494383693,-0.2875711382901342,0.0018483679616719127
4,11.556932217223444,32,0.13333333333333333,0.03860725935824541,-0.2970086581124918,0.7969219279772305,-0.2973254778075946,0.003264479499431335
5,14.377561866815313,42,0.175,0.03247345391581623,-0.28748332133116367,0.7752487765034042,-0.3052399100602302,0.005104956340217597
6,16.837237411726925,45,0.1875,0.027791210782715806,-0.2772126415168115,0.7537916212317327,-0.3100398068685433,0.007290253556223708
7,19.019189914279636,53,0.22083333333333333,0.02405626241024573,-0.26884383189241784,0.7325399619862145,-0.30727881626976356,0.009718210215300135
8,21.079491972029537,59,0.24583333333333332,0.020941147871240344,-0.26031325119992277,0.7106039455434817,-0.3001441766814908,0.012312487302697553
9,23.223691778462804,65,0.2708333333333333,0.01824177500114675,-0.2510583121340517,0.6876404705691632,-0.2877753761180045,0.015033643317183338
10,25.581272180881435,76,0.31666666666666665,0.015996887159499054,-0.24164268489975874,0.662892611880688,-0.2702443754833294,0.01788472119392678
11,28.359616076753635,85,0.3541666666666667,0.014066367280128882,-0.22775581363466676,0.6344964387289173,-0.24909827710929996,0.020892737608449372
12,31.45215286629823,92,0.38333333333333336,0.012557480817538647,-0.21055119025670274,0.6035443755385204,-0.22540925931610833,0.02412089186199574
13,34.68699954449452,101,0.42083333333333334,0.011423474804369794,-0.1902434174201119,0.5697657203650262,-0.20109578791653648,0.027606081338227083
14,37.812995077211916,110,0.4583333333333333,0.01055561370768416,-0.16885111616063983,0.5335466031330696,-0.1772779157151262,0.031349285618997094
15,40.47086851358892,116,0.48333333333333334,0.009940933306781708,-0.15071331942557648,0.49668367447068085,-0.15349283780421913,0.03530429363407462
16,42.62900633793617,127,0.5291666666666667,0.009444842585147384,-0.13381292061050193,0.4578433672685715,-0.13087454436743667,0.039362152116965074
17,44.19253936989875,131,0.5458333333333333,0.009052530722639732,-0.11842212107854505,0.41787652713748374,-0.10883060629579515,0.043418875593631605
18,45.02182185362686,135,0.5625,0.008839397469100174,-0.10474384260459199,0.3785828333058764,-0.08642564945970092,0.04736308916612446
19,45.59173584842474,136,0.5666666666666667,0.00863568276180373,-0.0908859649226072,0.34036139428440254,-0.06634642676887767,0.05106837184706705
20,46.08210470146333,143,0.5958333333333333,0.00836908769923479,-0.07697421250876735,0.30333293369747427,-0.0483218328061749,0.05450998513393999
21,46.4449145523541,145,0.6041666666666666,0.008106792204965949,-0.06320097135227047,0.26752216027292464,-0.030981959208175824,0.05769938125207037
