step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue
1,3.160210271534578,13,0.05416666666666667,0.10359747593593298,0.11464076568246398,0.22750166820483872,0.9252567424869557,0.00032475952641916454
2,5.564705026870032,22,0.09166666666666666,0.06890406151631422,0.12713249235356414,0.19056882819143997,0.9141663867266454,0.0008848229996899815
3,8.307647396265457,26,0.10833333333333334,0.05161964471418323,0.14102187999451324,0.15815981708153254,0.9000131657315983,0.0018397228922591143
4,11.273860436448086,37,0.15416666666666667,0.04030359569534551,0.1591210364557467,0.12972553695044828,0.8804112228222399,0.003213434489832976
5,14.11940737697322,40,0.16666666666666666,0.03274756970559004,0.1748323157355279,0.10747194011904161,0.8580423752319188,0.005005939872683694
6,16.749202889358767,46,0.19166666666666668,0.027511289651187723,0.18452589898311456,0.09405576347328873,0.832844481361997,0.0071527347685978035
7,19.326868892596536,55,0.22916666666666666,0.023255178541562033,0.18777334369015689,0.08710569440552118,0.8036289628025903,0.00957793683349279
8,21.991656430098164,60,0.25,0.019832077505222392,0.18711603185775305,0.08377077579294989,0.7710253313495087,0.012243931067505365
9,24.772600196530693,69,0.2875,0.017306626581951694,0.18182383183901912,0.08327177969278891,0.7366992143512328,0.015142973541398234
10,27.647016879932924,75,0.3125,0.01540292346784828,0.1696860142868694,0.08319811437540413,0.7008878103049963,0.018273538724107915
11,30.578621357918248,84,0.35,0.013829181025683469,0.1494301248812849,0.08606991810296917,0.6632902353226833,0.02163000051668455
12,33.47043933631929,91,0.37916666666666665,0.012555138392757351,0.12514763865176853,0.09468618846412784,0.6236776582480423,0.025200491969625764
13,36.2117443084512,101,0.42083333333333334,0.011559031717033897,0.09750106372890252,0.1079716776408709,0.5832063711031464,0.028956150148223055
14,38.80962981868499,113,0.4708333333333333,0.010709134309301017,0.06691436437331987,0.12506403083793488,0.5404336469217764,0.03285023719123535
15,41.19895934600504,121,0.5041666666666667,0.009976137711449482,0.03361711110705354,0.14415765463581975,0.4953649140760376,0.03684201906311525
16,43.21704608936223,125,0.5208333333333334,0.009414042514530579,-0.0019490675393229137,0.1624250928625286,0.44951135526221,0.04088262203417967
17,44.75777697439665,129,0.5375,0.009020509971267007,-0.03696059326279345,0.1798682833593898,0.4027129859511007,0.04489755597251713
18,45.78653780983396,130,0.5416666666666666,0.008757392255625003,-0.06820367201120578,0.19502332991583318,0.35696075645774333,0.04879988355796479
19,46.47395770148151,139,0.5791666666666667,0.008516795218865142,-0.09329913441685438,0.2081038361759359,0.31310348181269004,0.05250487104151217
