step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue
1,3.0629259756489575,12,0.05,0.10858068118251271,-0.3288895797974472,0.8703070901862631,-0.24273654789639,0.00032475952641916454
2,5.121129775991765,20,0.08333333333333333,0.07710111839089562,-0.3308199279266093,0.8518169370010152,-0.24983704622061786,0.0008665821942114276
3,7.092730869037085,24,0.1,0.062218798385527824,-0.33218144950508655,0.8369164192839419,-0.24964936778199054,0.0017401358077887405
4,8.92315208240725,24,0.1,0.05171816844357777,-0.3320955976430381,0.8246896637601634,-0.2434283923996284,0.00289600926495432
5,10.625779704476695,33,0.1375,0.04343110631814594,-0.33077074858120875,0.8122821583066847,-0.23157730320556882,0.004279499353910248
6,12.283427821335483,37,0.15416666666666667,0.03674520394454801,-0.3279461438784536,0.7990500263105053,-0.21648278098787932,0.0058438831131086034
7,13.99462160556736,42,0.175,0.03133390771709019,-0.32402048631524627,0.7839077532152847,-0.20024528524316926,0.007562637518298147
8,15.813474085013441,47,0.19583333333333333,0.02703341255000477,-0.3195030674498112,0.7662376025507096,-0.18393546183922524,0.009430365317512212
9,17.74920368573677,52,0.21666666666666667,0.0236354174773257,-0.31504964016566106,0.745804239625341,-0.16834245630134254,0.01145235517670101
10,19.883549007676127,60,0.25,0.020724874583248114,-0.31131316459988173,0.7207967553983179,-0.15261570194453158,0.013635095350106556
11,22.284835733030526,67,0.2791666666666667,0.018152871589160464,-0.3055409381838049,0.6915175666242634,-0.13707478633528958,0.015999751254035174
12,25.095076081164827,79,0.32916666666666666,0.015839986866452514,-0.29076650236686175,0.6596157812032957,-0.11978633130261178,0.018578182828574877
13,28.368088376053503,85,0.3541666666666667,0.013863739665478516,-0.26782702750562637,0.6253187086818001,-0.09969887947629173,0.021425691310935798
14,31.914528979381192,95,0.3958333333333333,0.012363035248420556,-0.24436452275879134,0.5888024407766582,-0.07771996718929577,0.02460213875035225
15,35.45535827214193,103,0.42916666666666664,0.011283608287152792,-0.22287417803660797,0.5513998317313735,-0.05343744808409975,0.028125899058951003
16,38.81473936938879,111,0.4625,0.010444686981195158,-0.20559264521292062,0.5121315537983032,-0.025473004821542067,0.03196118882908251
17,41.79877820540063,118,0.49166666666666664,0.00980667227047384,-0.19344552472796045,0.4704595116382464,0.0019847839642208416,0.036042833577934655
18,44.457847957186665,130,0.5416666666666666,0.009287433350323103,-0.18229983040180942,0.4249979554918955,0.029532951766192,0.04027582113365381
19,46.84246306691284,132,0.55,0.008850853140871341,-0.17304937164137174,0.3757887768291694,0.05706242279594022,0.04458408551226093
20,49.20291427017146,140,0.5833333333333334,0.00840675597406009,-0.16425104681122885,0.32570096224359757,0.08091949291983447,0.048908638786080996
21,51.366897799921524,146,0.6083333333333333,0.007991360397822765,-0.15405422431375188,0.2744419101886739,0.10303894951469666,0.053243321333130054
22,53.04727107397755,149,0.6208333333333333,0.00766954486984279,-0.14166957355474227,0.22605570769240774,0.12154237230837114,0.057550282537302336
23,54.127004945057365,155,0.6458333333333334,0.007417059987067078,-0.1264706828499626,0.18070120653369712,0.1364132169528971,0.06174161760994289
24,54.660591466047,157,0.6541666666666667,0.007199013635612739,-0.11001318055759844,0.13986900607437144,0.1466332720395348,0.06571626927614685
25,54.71072377497153,161,0.6708333333333333,0.007016082576977122,-0.09241703015614387,0.1016853804829131,0.15227480364729895,0.06939350324841596
26,54.53611945419012,165,0.6875,0.006832262783967756,-0.07619229301140633,0.06484890680092051,0.15266653793533794,0.07271241363138155
27,54.20542160395141,171,0.7125,0.0066648240026680045,-0.06251223419783708,0.02924868914151776,0.1480206013787621,0.07566669466590405
28,53.884362125931276,175,0.7291666666666666,0.006513148887047915,-0.05199829021485989,-0.008405343761205906,0.13961063499190932,0.07826354175005452
29,53.43443730749975,177,0.7375,0.0064345641716317455,-0.045277035377727926,-0.04638111449444303,0.12934806971738166,0.08054050547366119
30,52.754130935088995,178,0.7416666666666667,0.006434425194251293,-0.04073735207670886,-0.08274736123375706,0.11909866287199057,0.08250541192145128
31,51.64081184130599,177,0.7375,0.006510261635826409,-0.03623879277939611,-0.1140342936412593,0.11033015852070678,0.08414627027963535
32,50.135354234708245,176,0.7333333333333333,0.006622056074158634,-0.030601567012237842,-0.1392305582707168,0.10301643205888725,0.08541429547191667
33,48.349351754569454,177,0.7375,0.006746225421137678,-0.02492200792914787,-0.15952755458546103,0.09642845541925806,0.0862732448437328
34,46.404400867422595,174,0.725,0.006893068962024544,-0.01894604376661213,-0.174809205510342,0.09000725509204388,0.0867114238133413
35,44.76020179460879,172,0.7166666666666667,0.0069677914738952035,-0.013526990421391214,-0.1837824932296423,0.08447302244825362,0.0867411065946489
