brain,checkpoint,mode,steps,path_cost,path_nodes,path_integral,path_peak,target_integral,target_peak,closest_active_distance_to_target,closest_active_step,closest_active_node,closest_meaningful_distance_to_target,closest_meaningful_step,closest_meaningful_node,furthest_meaningful_path_index,furthest_meaningful_path_step,path_progress,reached_target,meaningfully_reached_target,terrain_total_change,terrain_changed_edges
1,0,control,5,21.238363751417218,10,0.2770778801985197,0.2144220967618777,0.0,0.0,0.9937174675745841,5,232,1.6295307022292014,4,120,2,2,0.2222222222222222,False,False,0.0,0
1,0,multiscale,5,21.238363751417218,10,0.2770778801985197,0.2144220967618777,0.0,0.0,0.9937174675745841,5,232,1.6295307022292014,4,120,2,2,0.2222222222222222,False,False,0.0,0
1,100,control,5,21.19844398518385,10,0.2817780286104715,0.21694759486277343,0.0,0.0,0.9937174675745841,5,232,1.6295307022292014,4,120,2,2,0.2222222222222222,False,False,1.2598869406581894,1137
1,100,multiscale,5,21.036024068068507,10,0.28182994260686967,0.21696662469549297,0.0,0.0,0.9937174675745841,5,232,1.6295307022292014,4,120,2,2,0.2222222222222222,False,False,6.3141230154011945,1972
1,200,control,5,21.159981594109368,10,0.2862511554557547,0.2193331804957753,0.0,0.0,0.9937174675745841,5,232,1.6295307022292014,3,120,2,2,0.2222222222222222,False,False,2.5135522764765037,1188
1,200,multiscale,5,20.833515222642482,10,0.32414343200845,0.2360040145491677,0.0,0.0,0.9937174675745841,5,232,1.6295307022292014,3,120,2,2,0.2222222222222222,False,False,12.482932050728294,1972
1,300,control,5,21.094849667764162,10,0.3297902179631292,0.23881982535375854,0.0,0.0,0.9937174675745841,5,232,1.6295307022292014,3,120,2,2,0.2222222222222222,False,False,3.80000877685725,1221
1,300,multiscale,5,20.610782691778542,10,0.3297137227253987,0.23875390983293548,0.0,0.0,0.9937174675745841,5,232,1.6295307022292014,3,120,2,2,0.2222222222222222,False,False,18.760929980683244,1972
1,400,control,5,21.028338176020053,10,0.33551482979721875,0.24164048851609327,0.0,0.0,0.9937174675745841,5,232,1.6295307022292014,3,120,2,2,0.2222222222222222,False,False,5.130775722863796,1255
1,400,multiscale,5,20.384486180360568,10,0.3352419448549841,0.24146805093567927,0.0,0.0,0.9937174675745841,5,232,1.6295307022292014,3,120,2,2,0.2222222222222222,False,False,25.42411602068554,1972
1,500,control,5,20.965199771140956,10,0.3410110101580632,0.24433542131024102,0.0,0.0,0.9937174675745841,5,232,1.6295307022292014,3,120,2,2,0.2222222222222222,False,False,6.491328686765314,1274
1,500,multiscale,5,20.172732244402003,10,0.34046908489401023,0.24402315583049444,0.0,0.0,0.9937174675745841,5,232,1.6295307022292014,3,120,2,2,0.2222222222222222,False,False,31.922396896467767,1972
