step,total_activity,active_nodes,center_x,center_y,center_z,A_mean,B_mean,C_mean,D_mean,fired_nodes
1,0.9121054844829581,11,0.9612097573061195,-0.02902873315087985,-0.11065579400253477,0.2045064270741224,0.0,0.0,0.0,
2,0.3906798958236445,9,0.938473335333461,-0.028825579638715015,-0.107975698114021,0.04781033644852591,0.0,0.0,0.0,
3,0.12791644240231548,0,0.8957219022152136,-0.02823254113738351,-0.10321001865477938,0.0,0.0,0.0,0.0,
4,0.03637702205684085,0,0.8384229535922174,-0.027686175333533628,-0.0966915477972763,0.0,0.0,0.0,2.059526659687079e-07,
5,0.0086831988557294,0,0.7440250641630966,-0.02416867191577452,-0.08661887370295941,0.0,4.733449432051367e-08,0.0,5.039227247131282e-07,
