step,total_activity,active_nodes,center_x,center_y,center_z,A_mean,B_mean,C_mean,D_mean,fired_nodes
1,0.9277465254815855,12,0.9612129317350693,-0.02904712364454681,-0.11066303666073161,0.2074272312841404,0.0,0.0,0.0,
2,0.4039837302370155,9,0.9388923170176123,-0.02887261808179783,-0.10803790823065415,0.04989221467979635,0.0,0.0,0.0,
3,0.1324642708994604,0,0.8962457208801212,-0.028309747992993326,-0.10329463869398231,0.0,0.0,0.0,0.0,
4,0.03784186564065472,0,0.839515784329495,-0.027791786342408975,-0.09683869977497771,0.0,0.0,0.0,2.0896725390641722e-07,
5,0.008995705598659785,0,0.744815799588021,-0.024315171868604595,-0.08674400348035835,0.0,4.804366664494897e-08,0.0,5.125835494556405e-07,
