repetition,delay,a_strength,c_strength,steps,changed_edges
1,5,0.8353964463000995,0.7867419882039277,10,779
2,3,1.0261530757756114,1.1942997586133177,8,837
3,5,1.0480926325554107,0.8538685777473054,10,806
4,1,1.1133117923334734,0.9222490501575207,6,822
5,4,1.0731609191249336,1.030894764599189,9,827
6,4,0.9324581524719983,0.9304866889179446,9,810
7,3,0.8813909184414516,0.9365725195169396,8,801
8,1,0.951757819325835,0.9866154661455449,6,820
9,1,0.9422528960460835,0.987092015430549,6,819
10,4,0.9975868187842033,1.068858677791734,9,826
11,2,1.0432811649325207,1.1158174753956893,7,832
12,2,1.0124070932905405,1.1097883995510798,7,829
13,1,1.0365627633424341,0.9950775248189331,6,825
14,4,1.1107044670624109,0.929039760744232,9,825
15,3,0.9417030251345103,1.120648317769052,8,826
16,3,0.9921414331646566,1.0783508773850974,8,827
17,3,1.018697349872176,1.0449740025575807,8,826
18,4,0.9461278048633401,0.9041476346196397,9,809
19,1,0.9820436624161066,0.8828119472750737,6,806
20,4,0.9920439995696286,1.0174404043070324,9,824
21,3,0.9369008007935062,1.0318243154777484,8,820
22,5,1.124011439393247,0.9369239515385541,10,826
23,1,0.9878436176626769,1.0754217087201496,6,827
24,5,0.9030680133590018,0.9822157192933788,10,810
25,2,0.930895842887299,1.0370584032725416,7,819
26,1,1.021622812859859,0.9802386920836377,6,823
27,3,1.044355796250093,0.9183627716347171,8,818
28,4,1.040283384017783,0.9498739154422998,9,822
29,1,0.9359342431271976,0.9361899539283208,6,813
30,1,1.1145197842749204,0.9056711011168341,6,821
31,4,1.0579869224248544,1.035586796205598,9,828
32,4,1.093051221910335,0.9371581475694502,9,821
33,2,0.9232675105714349,1.0206026863752693,7,817
34,1,1.0278502982985398,0.9133187103694896,6,816
35,1,0.985203966904376,1.0488915715466127,6,825
36,4,1.1815224795496504,0.9988599919429891,9,840
37,3,0.9029220503053831,0.9100209607398497,8,801
38,2,0.9377099877813326,0.904496645521097,7,809
39,4,1.1923439216333696,0.8858667519342508,9,827
40,4,1.055884901470477,1.0694951911316548,9,830
41,5,1.1166138211790901,1.1780480849145276,10,845
42,5,1.036940229689827,1.1731895143372675,10,839
43,3,1.0572288565328967,1.0099803964963305,8,827
44,2,0.9556575978889829,1.0800481778688225,7,826
45,3,1.1470162969973783,0.9308194670267187,8,828
46,4,0.9474578313433876,1.046554109118461,9,824
47,3,0.9436716288265297,0.9049937091224148,8,812
48,3,1.0161253372863683,0.9067000483504543,8,814
49,3,1.0689711676191054,1.1605593832617869,8,836
50,1,0.9752804278441826,0.9094936159418703,6,813
51,1,1.0572889263237546,0.97753891864702,6,825
52,1,0.8981230656288666,1.0762019351677314,6,815
53,1,1.1782882923353073,0.899399199702102,6,829
54,4,1.013000683774441,0.9389080002658007,9,820
55,2,1.0575675935993225,0.85544547787917,7,809
56,3,1.098636009040934,1.0892908924956632,8,837
57,3,1.0784559865715109,1.125105065484644,8,834
58,3,0.9897824409391368,0.8912754832025386,8,812
59,2,0.9757727799659448,1.0323533020607185,7,824
60,1,0.9469708735620179,1.0990835148943077,6,828
61,2,1.0034466065853722,1.0224465626257004,7,825
62,1,0.8521239450178234,1.0451330165437238,6,807
63,1,1.0667309656659731,0.9676452753710257,6,825
64,2,0.9292159296866882,0.9469785000289417,7,817
65,1,1.047839676680212,0.9384445249853693,6,822
66,4,0.965378722811059,1.086019802854046,9,828
67,3,1.0437496180732448,0.9169570266620564,8,820
68,4,1.1014494370467482,0.9651709128305809,9,830
69,2,0.9004639003804416,1.0286559986234696,7,814
70,3,1.0719966689372575,0.9618807423981407,8,825
71,2,1.0404496645602714,1.1449579759741688,7,836
72,1,0.9944937238871588,0.9811174742269629,6,823
73,3,0.9816817028156176,1.0661621070931793,8,827
74,2,1.092636112205913,0.8244110272413298,7,811
75,2,0.9766499422893494,0.9126110371085908,7,817
76,1,0.9087092709130832,1.0869545639809004,6,821
77,4,0.9694354365479048,0.932974813026598,9,818
78,3,1.0258870097506378,1.1236676386789786,8,834
79,1,0.9735784606583492,0.9544323105043288,6,819
80,2,0.8637366875104451,1.081764981381991,7,813
81,3,0.9144513416456064,1.084413977603961,8,824
82,5,1.1283708708154874,1.088626815643996,10,839
83,5,0.9429155531701189,0.9679551596694451,10,821
84,4,0.9387905134690566,0.7905967355137586,9,800
85,1,1.0317457512519357,1.0897937782057043,6,832
86,1,1.0398240919213877,1.0240036548534974,6,828
87,1,0.9955350058695217,0.9425610737245365,6,820
88,2,0.978569026623825,1.1665010900018014,7,837
89,5,1.0381643028895817,0.9327111821342884,10,822
90,5,1.0173867399865206,1.0501701853867562,10,830
91,2,1.0408126844693433,1.1791335927821114,7,842
92,1,1.1794521409802627,1.1030938062039422,6,846
93,2,1.1242668824252688,0.8656282844548443,7,819
94,3,0.986267524734064,1.1623389525887815,8,836
95,4,0.801405406125272,1.1031329558756693,9,808
96,1,1.1267943066205917,1.09885509036774,6,840
97,5,1.0383037572360843,0.8647887719466681,10,812
98,4,1.094403400484196,1.0562870351045153,9,836
99,3,0.9243845777861117,1.0322560257996487,8,824
100,3,0.9364714801468312,1.0425754937901717,8,824
