step,total_activity,active_nodes,center_x,center_y,center_z,A_mean,B_mean,C_mean,D_mean,fired_nodes
1,0.9260314680270665,12,0.9613035416708031,-0.029309440687802214,-0.10990457752223229,0.2074562933179839,0.0,0.0,0.0,
2,0.4024576367997599,9,0.9390168512408115,-0.029273242819512855,-0.10665629533643677,0.04989257766425176,0.0,0.0,0.0,
3,0.13165860738447446,0,0.8962719761445569,-0.02905240660844324,-0.10113019910814135,0.0,0.0,0.0,0.0,
4,0.0376133995150705,0,0.8394168062195745,-0.02871170625544239,-0.09521358363622251,0.0,0.0,0.0,2.16346581459267e-07,
5,0.008948376341802865,0,0.7447363992791847,-0.02811546599762614,-0.08415956055554716,0.0,4.684533703655715e-08,0.0,5.274762394722527e-07,
