step,total_activity,active_nodes,center_x,center_y,center_z,A_mean,B_mean,C_mean,D_mean,fired_nodes
1,0.8350108390611746,11,0.9590608742491138,-0.03886724929853687,-0.11644173784007605,0.18779256924759602,0.0,0.0,0.0,
2,0.3257988557718179,8,0.9314357492769935,-0.051179775384519635,-0.11935574218861492,0.036306092890995324,0.0,0.0,0.0,
3,0.10701755846135094,0,0.8865809331238652,-0.0639667926923833,-0.12194515139683614,0.0,0.0,0.0,0.0,
4,0.028954206297719606,0,0.8231297992344965,-0.0681311145203767,-0.11851935208389872,0.0,0.0,0.0,2.16346581459267e-07,
5,0.0071152065819985524,0,0.7314060932797329,-0.06721731115229934,-0.12126516686294464,0.0,4.369267133411495e-08,0.0,4.976490911904387e-07,
