source,target,before,after,delta
0,1,0.42442093071000714,0.4244209307100275,2.0372592501871623e-14
0,2,0.3962834176272704,0.3962834176273193,4.8905324234738146e-14
0,3,0.4470382271968951,0.44703822719705955,1.6442402994698568e-13
0,4,0.4471059584423989,0.447105958442644,2.450817326860033e-13
0,5,0.4283315081233049,0.42833150812381865,5.137557046452912e-13
0,6,0.42982664748778143,0.4298266474877991,1.765254609153999e-14
0,7,0.42315591348621234,0.4231559134862446,3.22519788653608e-14
0,8,0.4076337358757336,0.40763373587636537,6.317724121629453e-13
1,0,0.3973304543688877,0.39733045436889614,8.43769498715119e-15
1,2,0.4114297904571792,0.41142979045718414,4.9404924595819466e-15
1,3,0.41125347292669884,0.4112534729267132,1.4377388168895777e-14
1,4,0.425105874902714,0.4251058749027494,3.5416114485542494e-14
1,6,0.4264947652026131,0.4264947652026144,1.3322676295501878e-15
1,9,0.4176869096610736,0.4176869096611699,9.631184738623233e-14
1,11,0.4269211150751006,0.42692111507510944,8.826273045769994e-15
1,14,0.427674923974743,0.42767492397474893,5.9396931817445875e-15
2,0,0.4053006114011841,0.40530061140122303,3.8913317013111737e-14
2,1,0.41673220874290434,0.4167322087429158,1.1435297153639112e-14
2,3,0.39219842732716875,0.39219842732725807,8.931744233109384e-14
2,4,0.42190894674885376,0.4219089467489971,1.433297924791077e-13
2,5,0.4129209772444568,0.4129209772447281,2.71282996067157e-13
2,7,0.40781738682582674,0.40781738682584645,1.970645868709653e-14
2,10,0.4335727387621386,0.43357273876228203,1.4344081478157023e-13
2,12,0.4246516081246128,0.4246516081249676,3.5482727867020003e-13
2,15,0.4135929918819139,0.41359299188193704,2.3148150063434514e-14
3,0,0.4307887949851849,0.4307887949854277,2.4280577548552174e-13
3,1,0.4166092791396447,0.4166092791397046,5.98965321785272e-14
3,2,0.4209142614267311,0.42091426142689087,1.5976109324356003e-13
3,5,0.4075349929454066,0.4075349929477213,2.3146484728897576e-12
3,6,0.40809026105908525,0.4080902610591358,5.057065877167588e-14
3,8,0.4235192592354492,0.4235192592382701,2.820910172118829e-12
3,11,0.42324060134046754,0.42324060134072095,2.53408405370692e-13
3,13,0.4017131081036554,0.4017131081093656,5.710210082554568e-12
3,16,0.4081944594856742,0.4081944594887594,3.0851987631308475e-12
4,0,0.4247750194252842,0.4247750194253788,9.46465128492946e-14
4,1,0.4196172541217686,0.41961725412181744,4.884981308350689e-14
4,2,0.41574068167203787,0.4157406816721172,7.932543510946743e-14
4,6,0.4321570036910207,0.4321570036910622,4.1466829969749597e-14
4,7,0.4175110169819733,0.4175110169820645,9.120482147295661e-14
