step,total_activity,P_activity
1,6.636417559697602,0.6044937825717182
2,14.603096472657295,0.71163637271837
3,22.931215096020594,0.6984810880050192
4,29.497939658982666,0.6253494456293889
5,33.09752802141655,0.5448682482934024
6,34.55287874108961,0.47975728737614587
7,34.82282242319282,0.43125671536167404
8,34.49572965889507,0.3954088300133154
9,33.919596293546064,0.3687841565135762
10,33.24957472832538,0.34917098389312917
11,32.581050743953284,0.3352839443664861
12,32.01328452164283,0.32636667890835624
13,31.537264997169316,0.32194515857622585
14,31.169923008956076,0.32168708474748714
15,30.89992665190311,0.32519874639606705
16,30.68790940769091,0.3319299273400845
17,30.520906895357104,0.34110076632409514
18,30.364446183392182,0.3516860858636258
19,30.19866972873374,0.36252809185816676
20,30.018493509694036,0.37249862829327085
21,29.811522864952686,0.38067685977970295
22,29.5955995118608,0.38653555594942124
23,29.343345692719833,0.3898251554747218
24,29.092142426220718,0.390720609050331
25,28.814774670059606,0.38952359627881916
26,28.489304916475668,0.3868030534270342
27,28.08716842883687,0.383078885283764
28,27.658229569130203,0.37886443109318824
29,27.176727712261954,0.3745662987659734
30,26.662263626120875,0.37047569587389084
31,26.14070572239561,0.36673987745330555
32,25.636533605945445,0.36343692381321374
33,25.204690930124467,0.360585126066084
34,24.837853925898337,0.35814881161026046
35,24.54366038460008,0.3561168563025461
36,24.400409429336506,0.3544674613768748
37,24.299732895482904,0.3531361347303552
38,24.271778694583006,0.35208096785677423
39,24.3303162411479,0.3512285029727841
40,24.63885223439617,0.35051300781716505
41,24.99021671591336,0.34982690639933023
42,25.390780943790045,0.34924940494089873
43,25.818944591252585,0.3487951923594614
44,26.286777281390997,0.348513427414266
45,26.788296627285085,0.3484301466508244
46,27.29904953328397,0.3485717276057783
47,27.79785355344715,0.3489604238873931
48,28.2562175600556,0.3496042304707335
49,28.637667119632283,0.3505015788847671
50,28.925690580398282,0.35164209062169344
51,29.146747041999298,0.3529968651410338
52,29.29422205619555,0.3545018240339383
53,29.398995126090668,0.3561081833564391
54,29.49204348167678,0.35774904086378717
55,29.587084849812584,0.35937006675629823
56,29.688034599838083,0.3609410533307316
57,29.84760066531713,0.36245622395109445
58,30.04051943716211,0.36379931556803735
59,30.180080332987202,0.3649510852797718
60,30.208228120127984,0.3659628742041245
61,30.101359609151825,0.3668679837579552
62,29.859852509284654,0.36767695534534806
63,29.538646433265725,0.36836976279441214
64,29.16589107956639,0.36888507449712526
65,28.760281206312136,0.3691555585245721
66,28.439364566313913,0.36911948719132154
67,28.144459265274104,0.3686928768723787
68,27.817930403858842,0.36787421192313013
69,27.53761767588902,0.3666985117650729
70,27.235191001142418,0.3651648726977801
71,26.882702716767078,0.3633582771835597
72,26.48234541962533,0.36136937809322195
73,26.075701436249474,0.35929839053797874
74,25.61210264870335,0.3572311338679557
75,25.163037084222083,0.3552892098632635
76,24.804083891065133,0.35354347848299206
77,24.45253487438883,0.35203738114664873
78,24.17537482098821,0.35083934634336444
79,24.011965477311268,0.34994986876962925
80,23.900560226655394,0.349377069952051
81,23.839042927223943,0.34918368930434185
82,23.787205726060815,0.3493919237398156
83,23.73705708502422,0.3500233008564767
84,23.69280959223877,0.35105569358876365
85,23.662074122252424,0.35243719664798545
86,23.647312153968013,0.35408385897150607
87,23.65456799151027,0.3558991245420651
88,23.695910837227906,0.3577780723222369
89,23.770313227871338,0.3596214746260118
90,23.88222883892696,0.3613531294629132
91,24.04706222219592,0.36291705252078793
92,24.287889371704527,0.36424615884364886
93,24.60590086051616,0.3652699591495878
94,24.978263356060427,0.36597998427149236
95,25.410039375299064,0.3664130197423304
96,25.88640110240605,0.3665998087643212
97,26.36216550529351,0.3665890567463782
98,26.80087741632738,0.36644629637700277
99,27.1831602658326,0.36623248162029326
100,27.495138055924144,0.3659639052196446
101,27.7448832072,0.36566545238031056
102,27.95729711575546,0.36533055825208355
103,28.11292426287116,0.36491697074092333
104,28.20179060590389,0.36440441031352977
105,28.234036770349988,0.3637677656681107
106,28.168675626479377,0.36298588854221775
107,28.02542596626243,0.3620766371064733
108,27.839617465492893,0.3610412998236625
109,27.577005526515737,0.35989173375705696
110,27.383366903520983,0.35868936662310524
111,27.17756604356981,0.3574365948133899
112,26.963544838007024,0.3562381814005363
113,26.70048888710206,0.355166856455402
114,26.49169187390693,0.35431189670278246
115,26.258615288412905,0.35368466916708197
116,26.04014352102003,0.3533431736948048
117,25.844657651874556,0.35328428344015994
118,25.679980278035234,0.3535003014681504
119,25.507699360131973,0.3539697252330199
120,25.32564345736807,0.35467754076577296
