step,total_activity,P_activity
1,3.2745156542249374,0.0
2,6.117298430021063,0.0
3,9.799630726357577,0.0
4,14.149562556088185,0.0
5,18.719371751299132,0.0
6,23.157194112497304,0.0
7,27.39425489639522,0.0
8,31.179397266867067,0.0
9,34.42668166301519,0.0
10,36.94267003043155,0.0
11,38.8003734883004,0.0
12,40.11593096193142,0.0
13,40.97939209799345,0.0
14,41.551139444346575,0.0
15,41.87971841855119,0.0
16,41.92621089482384,0.0
17,41.76359606725118,0.0
18,41.6007404394268,0.0
19,41.478493911573054,0.0
20,41.26455960619471,0.0
21,41.224731574631676,0.0
22,41.12640744188484,0.0
23,41.14299674648723,0.0
24,41.33974397866629,0.0
25,41.67946462359469,0.0
26,41.939840116241925,0.0
27,42.00902062351217,0.0
28,41.72861869225069,0.0
29,41.09926633309785,0.0
30,40.190888103368536,0.0
31,39.097186118748596,0.0
32,37.8580953172373,0.0
33,36.509961021577695,0.0
34,35.06025475565275,0.0
35,33.672072367455385,0.0
36,32.3491894455328,0.0
37,31.160224355008182,0.0
38,30.023696327021312,0.0
39,28.978191197862433,0.0
40,28.02314421208311,0.0
41,27.246260367633884,0.0012674063505240202
42,26.6789428957846,0.004110275847822824
43,26.337133542848832,0.00786355499369214
44,26.20700299560113,0.011999968079332131
45,26.290021422628637,0.016393928819182606
46,26.5704772433916,0.02138837836424365
47,27.019568538670914,0.0272608069447922
48,27.710559062355074,0.036453425424213495
49,28.68749980529402,0.0501811886521354
50,29.87700981144272,0.0726096271529985
51,31.262868359472613,0.10967135259742958
52,32.83563651733356,0.1699881057457502
53,34.670920288981335,0.25449189448109805
54,36.77998686372797,0.3547010939808619
55,38.9356464836874,0.4487030067564712
56,40.97612096313091,0.5129889390743554
57,42.63990329745523,0.539339329062914
58,43.806095255142026,0.5365557260658491
59,44.62843811757558,0.5178188220426622
60,45.336207529985934,0.4926982425486332
61,45.9654316645782,0.46622885849215207
62,46.6699880875635,0.4407961848525449
63,47.37192007523306,0.41704352708187437
64,48.24618049533265,0.3953771284411649
65,49.02996761582061,0.37566441806443057
66,49.681257929314725,0.35802171639152597
67,50.26995441677386,0.3424049506078759
68,50.89963638391592,0.32871121681781923
69,51.3243747310381,0.3168479382120234
70,51.58855675355558,0.3068923622499165
71,51.79943937776635,0.298915539537999
72,51.84483800745414,0.292958337680701
73,51.606798259676665,0.28910655329546087
74,51.05650884725695,0.28749605658409505
75,50.30496506207005,0.2882124621257896
76,49.44399749009915,0.29125020272099883
77,48.68978659758871,0.29643129348881614
78,48.011086547066924,0.3033325061787376
79,47.512679396012686,0.3114750407775607
80,47.16170019426166,0.3202051921582484
81,46.96988278317646,0.3287130992645011
82,46.95323723592489,0.3362984402777425
83,47.19173868655809,0.3422653904431421
84,47.587287505603655,0.34613525720909205
85,48.19353699837284,0.3478416275382014
86,48.969525275959974,0.34742115529512074
87,49.79990090894664,0.3451279802153105
88,50.72845861351057,0.3414157986812313
89,51.61316140926114,0.3365458102151161
90,52.43575121793103,0.3307586551788954
91,53.28716755628567,0.32438227041541423
92,54.13053044038286,0.3178449042359496
93,54.50035345168419,0.31164774576306
94,54.55234852783644,0.30644490154351944
95,54.369694209860704,0.30261988983868854
96,53.97084378350401,0.3003717764580318
97,53.49405723118479,0.2997721318026615
98,52.933131028201885,0.30066160816219445
99,52.384553003609085,0.30276006504070185
100,51.79557073732631,0.3056738278465104
101,51.0348233335975,0.30902747339715575
102,50.22643112632101,0.3125141310418427
103,49.327047928240894,0.3158111809005486
104,48.342988962595335,0.318680593012008
105,47.39283684729752,0.32095877236202164
106,46.337568152539376,0.32252929210442505
107,45.215553833768325,0.3235482699086842
108,43.96845150013114,0.32421324361549303
109,42.75816352054746,0.3247421215672997
110,41.889638872287115,0.32510252415845076
111,40.92466382188338,0.3251879316383629
112,40.19563292132243,0.32534781797403867
113,39.59702369074087,0.32559510645211454
114,39.15841285751839,0.3262800056531567
115,38.740120363741156,0.3275569679135313
116,38.341536206467225,0.32968618046373743
117,38.160329264498344,0.3327138311863712
118,38.235359781626606,0.3363322616110622
119,38.57815865722277,0.34005636301725617
120,39.108086284050586,0.34358134210043667
