brain,gain,checkpoint,mode,cue,P_peak_activity,P_cumulative_activity,P_final_activity,trial_similarity,experience_similarity,P_peak_gain_vs_local,P_cumulative_gain_vs_local
1,0.0,0,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0.0,0,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0.0,0,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0.0,0,local,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0.0,0,local,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0.0,0,local,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0.25,0,field,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0.25,0,field,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0.25,0,field,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0.5,0,field,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0.5,0,field,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0.5,0,field,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0.75,0,field,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0.75,0,field,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0.75,0,field,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,1.0,0,field,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,1.0,0,field,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,1.0,0,field,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0.0,100,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0.0,100,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0.0,100,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0.0,100,local,A,0.4835485851805658,19.12633194100025,0.0,1.0,0.5295827837134717,0.0,0.0
1,0.0,100,local,F,0.471543721957176,18.026131065698976,0.32401507490764614,1.0,0.523337305852428,0.0,0.0
1,0.0,100,local,P,0.6189702237570522,21.54408155008163,0.15751836349846682,0.9999999999999998,0.0,0.0,0.0
1,0.25,100,field,A,0.5038259421800131,28.16712196384672,0.3231512194078837,1.0000000000000002,0.9175949288613945,0.02027735699944727,9.040790022846473
1,0.25,100,field,F,0.48691351685628365,23.433742071881362,0.27266013736823114,1.0,0.6050892908312868,0.01536979489910767,5.407611006182385
1,0.25,100,field,P,0.647824811239449,20.02838017123235,0.2962317210574229,0.9999999999999998,0.0,0.028854587482396776,-1.515701378849279
1,0.5,100,field,A,0.5255708578630122,27.894552085225865,0.2952682542992482,1.0,0.8760482441567347,0.04202227268244635,8.768220144225616
1,0.5,100,field,F,0.5202181912898596,23.616345227687326,0.30887069866008854,1.0000000000000002,0.9109000660148654,0.0486744693326836,5.590214161988349
1,0.5,100,field,P,0.6643815017778611,20.0349579608655,0.30831222607229136,1.0000000000000002,0.0,0.04541127802080891,-1.5091235892161272
1,0.75,100,field,A,0.5340406512125202,26.346427590598445,0.31053594999045014,1.0,0.9288662313828663,0.050492066031954386,7.220095649598196
1,0.75,100,field,F,0.518602382504061,21.66702087757651,0.3066646463542034,1.0000000000000002,0.933865542694576,0.04705866054688501,3.640889811877532
1,0.75,100,field,P,0.6762223044823958,38.92441676576178,0.3079384524998019,0.9999999999999998,0.0,0.0572520807253436,17.380335215680148
1,1.0,100,field,A,0.5372179344338065,27.258957192908873,0.3184778237687807,1.0,0.9411049435403929,0.053669349253240684,8.132625251908625
1,1.0,100,field,F,0.5357751248121039,23.810671682917523,0.313721927985406,1.0000000000000002,0.9446932717914425,0.0642314028549279,5.784540617218546
1,1.0,100,field,P,0.6811655887014048,39.84202142846347,0.31578785618526245,1.0,0.0,0.062195364944352516,18.29793987838184
1,0.0,200,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0.0,200,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0.0,200,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0.0,200,local,A,0.4796892005976717,8.81138520412868,0.0,1.0,0.6852963635763442,0.0,0.0
1,0.0,200,local,F,0.4812064573296679,8.052555610148598,0.0,1.0,0.5073490364511297,0.0,0.0
1,0.0,200,local,P,0.630029992778082,12.207643027505206,0.2898266089810307,0.9999999999999998,0.0,0.0,0.0
1,0.25,200,field,A,0.0,0.0,0.0,1.0,0.6304940324024338,-0.4796892005976717,-8.81138520412868
1,0.25,200,field,F,0.0,0.0,0.0,1.0000000000000002,0.649422598405504,-0.4812064573296679,-8.052555610148598
1,0.25,200,field,P,0.6699034460372697,5.5740853270487,0.0,0.9999999999999998,0.0,0.039873453259187674,-6.633557700456506
1,0.5,200,field,A,0.0,0.0,0.0,0.9999999999999998,0.6653813752911294,-0.4796892005976717,-8.81138520412868
1,0.5,200,field,F,0.0,0.0,0.0,1.0,0.7538720143000043,-0.4812064573296679,-8.052555610148598
