step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,3.054641926071394,16,0.06666666666666667,0.09738813232299108,-0.3229582038105056,0.8651619605427194,-0.2501097810147982,0.00032475952641916454,0.4710407906436049,0.0,0.0,0.0,0.0
2,5.407235224955645,22,0.09166666666666666,0.06245977119826,-0.31856056300204394,0.8429689537838112,-0.26385415329684153,0.0008650289349156346,0.4717278138548336,0.0,0.0,0.0,0.0
3,8.30086503270035,31,0.12916666666666668,0.04687576583154327,-0.3164421595624189,0.8190344682139358,-0.27389500328859073,0.0017923826461032544,0.5230631220755643,0.0,0.0,0.0,0.0
4,11.482823467595185,35,0.14583333333333334,0.03727083401718747,-0.31473383985631276,0.7961264925829893,-0.2786503965791253,0.0031695565751242447,0.5667089104895751,0.0,0.0,0.0,0.0
5,14.815370310450216,46,0.19166666666666668,0.029981470254143244,-0.308566141340462,0.7699414572993467,-0.28209070263164493,0.005005630317785918,0.5762288622147758,0.0,0.0,0.0,0.0
6,18.197455511480236,53,0.22083333333333333,0.024438200812150684,-0.30182972288498705,0.7403762635312174,-0.2825956461424455,0.0072829492192167415,0.5578027660357212,0.0,0.0,0.0,0.0
7,21.6519623404654,61,0.25416666666666665,0.020299554467624038,-0.29135574904776407,0.7077665914160025,-0.28209783224314106,0.00996667720569761,0.5223858430875856,0.0,0.0,0.0,0.0
8,25.24590897244512,70,0.2916666666666667,0.017171171815616934,-0.2793218062296454,0.6706777486933091,-0.2823727571152349,0.013029752423965112,0.47849008309179525,0.0,0.0,0.0,0.0
9,28.91265550560758,79,0.32916666666666666,0.014871014404810888,-0.2664931851578879,0.6301992616744335,-0.28146562046270657,0.016460385113902062,0.4319182341723993,0.0,0.00542047498226489,0.0,0.0
10,32.642799618712715,89,0.37083333333333335,0.013081450843544033,-0.2512258774101469,0.5858309378034929,-0.2813385900397903,0.020235469509813277,0.38639257110549563,0.0,0.031307931018464644,0.0,0.0
11,36.1071867119724,96,0.4,0.011806738565083155,-0.23940963772706847,0.540481689677967,-0.27852232762098184,0.02433244748734058,0.3438224575805103,0.0,0.06986523005771939,0.0,0.0
12,39.35246470474437,108,0.45,0.010758834533305194,-0.22469456027199336,0.49343297192165764,-0.2742095823327891,0.028669300247101355,0.30509124257706904,0.0,0.14358693296591465,0.0,0.0
13,42.131456818128775,116,0.48333333333333334,0.00992728993153185,-0.21116971972834836,0.44655775633823414,-0.26816307757168634,0.033180957354530784,0.2700705361145898,0.0,0.23575219665025926,0.0,0.0
