step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,3.4509793273060057,16,0.06666666666666667,0.09072458882905543,-0.3357729161270207,0.8522243100728888,-0.268406644070316,0.00032475952641916454,0.48889455576664287,0.0,0.0,0.0,0.0
2,6.323650706199588,24,0.1,0.060301660470630486,-0.3372653072154533,0.8223983045750322,-0.2927591723374113,0.0009393421976471241,0.5048452099824982,0.0,0.0,0.0,0.0
3,9.62651672464446,32,0.13333333333333333,0.04509317966691562,-0.33761160054612305,0.7929003516333061,-0.3096913334060831,0.0020310924852948342,0.5530795967219378,0.0,0.0,0.0,0.0
4,13.027748299051598,37,0.15416666666666667,0.03562035919699666,-0.33705384336525934,0.7646974539170036,-0.3187839292913461,0.003632955122636187,0.5814107851714632,0.0,0.0,0.0,0.0
5,16.46234832019982,48,0.2,0.02842198128530687,-0.3320136380559996,0.7343806732179474,-0.32203187745808504,0.005712362416444744,0.5754456438418759,0.0,0.0,0.0,0.0
6,19.85790453147917,55,0.22916666666666666,0.023238428461939128,-0.3252568761928894,0.7032456792116548,-0.3192885780288994,0.008227816484837735,0.5467711890417873,0.0,0.0,0.0,0.0
7,23.398074993794474,63,0.2625,0.019295714835937505,-0.313431126845693,0.6673772936745276,-0.31794735277605174,0.011128391936006307,0.5064588517415024,0.0,0.0,0.0,0.0
8,27.039775424577954,72,0.3,0.0164162684106028,-0.29946738083130975,0.6288204345107343,-0.3151020758719798,0.014402691803742141,0.46170311474690456,0.0,0.0,0.0,0.0
9,30.887618720866705,85,0.3541666666666667,0.014173387714428817,-0.28124134462873135,0.5833728253843955,-0.31638960769289826,0.01803238051547629,0.4170191195302621,0.0,0.01912176242516155,0.0,0.0
10,34.624096152335746,89,0.37083333333333335,0.012583283968118898,-0.2639963404506164,0.5344266853103067,-0.31914177055974985,0.022020570974091172,0.375026587346216,0.0,0.06070634949526977,0.0,0.0
11,38.26126505752854,101,0.42083333333333334,0.011328339845937795,-0.24584277807010008,0.4793051168639004,-0.32370483924699806,0.026310531905245006,0.3371241298716059,0.0,0.15073444549994414,0.0,0.0
12,41.51092528953422,110,0.4583333333333333,0.010371576509117946,-0.23030417264490233,0.42212780068408107,-0.3254128382155501,0.030853465913007104,0.3036474416444223,0.0,0.26312474268857944,0.0,0.0
13,44.26211797766579,120,0.5,0.009630231015125848,-0.21712699576777136,0.3626560517590937,-0.3252815619628898,0.03555141781349406,0.27462226983893373,0.0,0.3707509726628695,0.0,0.0
14,46.18240234804102,124,0.5166666666666667,0.009130055648260249,-0.20588572968535201,0.30664951772325255,-0.3226326638371533,0.04029542315295699,0.24984814507085604,0.0,0.4536115771073539,0.0,0.0
15,47.13656904146532,130,0.5416666666666666,0.008840944144167275,-0.19305494517411,0.2575003010112018,-0.3174341339312387,0.044925081277918985,0.22925532114598549,0.0,0.499466341928141,0.0,0.0
16,47.26483910997016,136,0.5666666666666667,0.008647143702685886,-0.17909938238803905,0.21443441525011195,-0.30865639342398643,0.04927067984540184,0.21286185692440837,0.0,0.5094979840266521,0.0,0.0
17,46.81501467227254,137,0.5708333333333333,0.008494636928149175,-0.16645131438524316,0.1806945313971241,-0.2972246337428162,0.05320576919398106,0.2008966179829692,0.0,0.49547297255019196,0.0,0.0
18,45.8598291238539,140,0.5833333333333334,0.008396788288239674,-0.15435938550515818,0.15443227404746523,-0.2833141952268948,0.05666300752563405,0.19423400858855863,0.0,0.46963563574563016,0.0,0.0
19,44.69163710397547,139,0.5791666666666667,0.008303070509241874,-0.14324229601896174,0.13370064361942546,-0.2676156974830336,0.05959542473379325,0.19371066325546027,0.0,0.43939258625342814,0.0,0.0
20,43.51596321460134,139,0.5791666666666667,0.008179829463277746,-0.13437460473692847,0.1186415416403197,-0.251525687691372,0.06201556421740933,0.19914319622840945,0.0,0.4077982689880446,0.0,0.0
21,42.289384461644545,140,0.5833333333333334,0.008079910964719363,-0.12680822977125972,0.10733146291758401,-0.2342246405568806,0.06397325089840615,0.2100791143207319,0.0,0.3757873492057065,0.0,0.0
22,41.192382742127535,144,0.6,0.00795811598222547,-0.12195207843505558,0.0994297566146568,-0.21833295093343688,0.06550518539512389,0.2261841225739909,0.0,0.34313432391129717,0.0,0.0
23,40.11513660448324,146,0.6083333333333333,0.007869369949431403,-0.11838432532623495,0.09475467223940458,-0.20247408245099663,0.06667823861976041,0.24635710611855963,0.0,0.3077412274600635,0.0,0.0
24,39.188404977513215,148,0.6166666666666667,0.007783231671464448,-0.11591251002102763,0.09182043244665931,-0.18933905884525892,0.06753200287112499,0.26927101186206925,0.0,0.2693301168841773,0.0,0.0
25,38.3581688743847,145,0.6041666666666666,0.007731317487769745,-0.11495570400049122,0.09055858520940822,-0.1788770319415406,0.06812662851729621,0.2927924064367944,0.0,0.22806644812485766,0.0,0.0
