step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue,region_A_activity,region_F_activity,region_P_activity,region_Q_activity,region_R_activity
1,3.3549864771212583,16,0.06666666666666667,0.09150456647455046,-0.33213718264017467,0.8554394078954162,-0.2635023813459482,0.00032475952641916454,0.48312173665823305,0.0,0.0,0.0,0.0
2,6.12664963862108,23,0.09583333333333334,0.060069646954089326,-0.3321305297936098,0.8270139373618425,-0.2857035859180773,0.0009213435382374841,0.49554311229830866,0.0,0.0,0.0,0.0
3,9.398801956862066,32,0.13333333333333333,0.04480486942364874,-0.33235306157304545,0.7979598226359118,-0.30183211285262157,0.0019779559916551876,0.545955580823526,0.0,0.0,0.0,0.0
4,12.840321754407338,36,0.15,0.035422779647254835,-0.3315952248034824,0.7702289741535453,-0.3109399975609508,0.003542435759401307,0.5784242695484493,0.0,0.0,0.0,0.0
5,16.35762791510576,49,0.20416666666666666,0.028284548668733756,-0.3262001660151713,0.7396691137084339,-0.3156680930742301,0.0055957525124125515,0.5756613366939538,0.0,0.0,0.0,0.0
6,19.79657649761076,53,0.22083333333333333,0.02319993663610356,-0.31957510850442156,0.708423510210291,-0.31473263409517344,0.008103232495253626,0.5485759496261368,0.0,0.0,0.0,0.0
7,23.38362086885318,65,0.2708333333333333,0.019248636337754126,-0.30753750546880787,0.6719077401085373,-0.31530060507868385,0.011004767339030282,0.5088408219907301,0.0,0.0,0.0,0.0
8,27.031598394157168,72,0.3,0.016379474649099075,-0.2944430619811214,0.6330715548839242,-0.31329680859991693,0.014288719518037226,0.46410197610622345,0.0,0.0,0.0,0.0
9,30.884811903671107,85,0.3541666666666667,0.014130037945345137,-0.2770750847056129,0.5874063327354674,-0.3147595308680042,0.017928272265137973,0.4192583848713634,0.0,0.021087005127689823,0.0,0.0
10,34.598550858331976,90,0.375,0.012546534656095773,-0.2617122368035731,0.5388104318879264,-0.31647269172874043,0.02192634727056251,0.37701116578389166,0.0,0.06147979797101542,0.0,0.0
11,38.18973373566167,101,0.42083333333333334,0.01131160831950567,-0.24554001428282576,0.48462595116308205,-0.3194631482262946,0.026220940829443498,0.3388145294483303,0.0,0.14843281725278235,0.0,0.0
12,41.41581611337575,110,0.4583333333333333,0.010352016580252579,-0.2313137545759991,0.4284645929421074,-0.3198136640855073,0.030759421821935716,0.3050766360632476,0.0,0.2590394583554199,0.0,0.0
13,43.998392784783455,119,0.49583333333333335,0.009667755506180679,-0.21978086254737816,0.37325289190532973,-0.31725816230982035,0.0354489451610001,0.27581654308839454,0.0,0.3632244177779106,0.0,0.0
14,45.82087809856571,125,0.5208333333333334,0.009159984066256892,-0.20892156239415302,0.32060164485256476,-0.3131536328030371,0.04015374929204698,0.250899511927042,0.0,0.4429597026662968,0.0,0.0
15,46.693140275792885,128,0.5333333333333333,0.008850221439110722,-0.19704997161682988,0.2756163234581045,-0.3060713118786561,0.044729789006323364,0.23013974807522228,0.0,0.48868406034202,0.0,0.0
16,46.908444535230146,137,0.5708333333333333,0.008601439573031187,-0.1838541662335856,0.23426639009141703,-0.2958614070952347,0.04901177390740219,0.21345070968509403,0.0,0.5022473880687207,0.0,0.0
17,46.64468915139537,140,0.5833333333333334,0.008385006017829343,-0.17074288467159937,0.1985893554690157,-0.28269454731219373,0.052905929867017615,0.20080415411167488,0.0,0.49232673272505506,0.0,0.0
18,46.00014522748428,144,0.6,0.008228233704011174,-0.15845872682477866,0.17013354432367406,-0.26726797674741676,0.05636121609620249,0.19302230034360832,0.0,0.46931826506601476,0.0,0.0
19,45.110612336098335,145,0.6041666666666666,0.008111195468982969,-0.14600713675804172,0.14632471458732416,-0.24937645379029275,0.05935012171673556,0.19067785467925036,0.0,0.4404185725848176,0.0,0.0
20,44.23485399845704,145,0.6041666666666666,0.007964032122123935,-0.13504337130554525,0.12823230548048953,-0.23114402033846534,0.06187334935808043,0.19389830893493318,0.0,0.40896324137101403,0.0,0.0
21,43.26330912078376,146,0.6083333333333333,0.007847518067162211,-0.12530968955476277,0.11403721721262171,-0.2105721349850887,0.06398004954698308,0.201948795515744,0.0,0.375654787722956,0.0,0.0
22,42.37812529871585,148,0.6166666666666667,0.00772404453433047,-0.11757739807259586,0.104141136146198,-0.1907645069247164,0.06569391505243173,0.21472488519492194,0.0,0.3405850601640227,0.0,0.0
23,41.50074901748404,152,0.6333333333333333,0.007621951076675786,-0.11062292334826561,0.09852159678034918,-0.17097074468224616,0.06707042204069777,0.2315868080594005,0.0,0.30152557141090475,0.0,0.0
24,40.66361391907499,151,0.6291666666666667,0.007549396891128291,-0.10460308584139902,0.09599467275902798,-0.1513086190618588,0.06814477027740627,0.25165413648725393,0.0,0.25775017326096367,0.0,0.0
25,40.003357889967745,151,0.6291666666666667,0.007468123540002842,-0.09868336582901055,0.09562802400315001,-0.13443030340345968,0.0689547208594922,0.27332746407007,0.0,0.20835653443005614,0.0,0.0
26,39.53351557408456,157,0.6541666666666667,0.007386461426387001,-0.09526013528764948,0.0983176038598237,-0.12137623257250454,0.06955987837791193,0.29439951614378806,0.0,0.15389967008693356,0.0,0.0
27,39.09648176928232,152,0.6333333333333333,0.007385374428390997,-0.0929654007181377,0.10331629995659325,-0.11132798184113361,0.07001642471026161,0.3126358914734633,0.0,0.09575823846598489,0.0,0.0
28,38.90181204315075,158,0.6583333333333333,0.007388552356453939,-0.09046871183917976,0.10717626365938064,-0.10936988165260278,0.07034537257097588,0.3264285862299834,0.0,0.06039434186285077,0.0,0.0
29,38.75822487107713,156,0.65,0.007444807241897736,-0.08941947884333777,0.10898845579700879,-0.1125165292492596,0.07060492507196905,0.3341751663003352,0.0,0.033808688201307516,0.0,0.0
30,38.67346335900359,156,0.65,0.007540689593495755,-0.0902209613985853,0.10609206366365266,-0.1214353638502044,0.07081159972809911,0.33532301326832376,0.0,0.018411377777547155,0.0,0.0
31,38.6398816285771,153,0.6375,0.007648112619516954,-0.08976548935312118,0.09663848875623954,-0.13629282176575133,0.07098171413510238,0.3306224902132427,0.0,0.003053718402158707,0.0,0.0
32,38.543643977605,151,0.6291666666666667,0.0077765634915799055,-0.09023098343727269,0.08217495585230856,-0.15409149086375146,0.07112852052695035,0.32195285942388224,0.0,0.0011900960487154833,0.0,0.0
33,38.447645959855755,152,0.6333333333333333,0.007892319396521793,-0.09300394019160922,0.062591857480013,-0.17476883638315732,0.07124260172005625,0.31132395951225655,0.0,0.011035699220619493,0.0,0.0
34,38.312563435488755,149,0.6208333333333333,0.00800756742578745,-0.09670973876048246,0.04005172267792745,-0.19601315543208903,0.07132727516552358,0.30047661771796363,0.0,0.028401520344734515,0.0,0.0
35,38.15260595331818,147,0.6125,0.008115011077313087,-0.09953217829290831,0.013682243880411461,-0.21958802448539524,0.07137815329312537,0.29053730054251403,0.0,0.04888580084830438,0.0,0.0
36,38.02324893571119,147,0.6125,0.008181679841679723,-0.10041316001239271,-0.014136583898594212,-0.24409176200864266,0.07139395158005998,0.2827531540629454,0.0,0.07007129263992576,0.0,0.0
37,37.81881649170795,145,0.6041666666666666,0.008253166429066889,-0.10160685793321063,-0.043529815598339544,-0.2674935080738358,0.07138391559749983,0.2772774691603773,0.0,0.10319652253335318,0.0,0.0
38,37.63315338847172,147,0.6125,0.008294725628901123,-0.10176212880290275,-0.07298494594847281,-0.29020336796033586,0.0713365521299451,0.27367370012386444,0.0,0.16125540866451663,0.0,0.0
39,37.25807505050859,142,0.5916666666666667,0.008402255893215027,-0.1011711181604175,-0.10376964469002994,-0.3144148398721431,0.07125911317728903,0.27119558904736696,0.0,0.22735367099890427,0.0,0.0
40,36.72053844604626,145,0.6041666666666666,0.008568919983247068,-0.10084353512784558,-0.13533358675569174,-0.3351084886628354,0.0711190909315305,0.26974833831177075,0.0,0.2951639305367881,0.0,0.0
41,35.83363365587373,138,0.575,0.00886792342247433,-0.09690217617613707,-0.16814144138667542,-0.3575776306739134,0.07089228279701112,0.26858360976194623,0.0,0.3495294897298743,0.0,0.0
42,34.85430212973277,133,0.5541666666666667,0.009173298030551589,-0.09223302214003752,-0.19921856801256685,-0.37763570074667063,0.07052186082778635,0.2667477329354024,0.0,0.3850214560905453,0.0,0.0
43,33.5791328649954,128,0.5333333333333333,0.009597969743332536,-0.08586084410479859,-0.22904377600377482,-0.39708114490573354,0.07000485639433258,0.26252909903119015,0.0,0.40099767800049346,0.0,0.0
44,32.147849737755806,121,0.5041666666666667,0.010075529450180956,-0.07899973660126453,-0.25405261761728765,-0.41586568268191004,0.06930045816708598,0.2539107448399526,0.0,0.3998702793388238,0.0,0.0
45,30.57152759618772,117,0.4875,0.01058055484054051,-0.07355856568808813,-0.27826905077937397,-0.4310481966323656,0.06839813417620659,0.24123028635808821,0.0,0.38582336543914986,0.0,0.0
46,28.817525106336713,111,0.4625,0.01118464759741854,-0.066045275068457,-0.2982935584285619,-0.44772169605421563,0.06729048218287112,0.22417917566206827,0.0,0.3616489107219979,0.0,0.0
47,27.19492841781568,109,0.45416666666666666,0.01168966968908916,-0.06233072572226436,-0.3160081347523516,-0.46076110151476507,0.06596471992202216,0.2010567327852207,0.0,0.3281622474413582,0.0,0.0
48,25.44984710055258,99,0.4125,0.012352704613999363,-0.05618078675445738,-0.333691346460585,-0.4743255233493667,0.06446729700816038,0.1699452199923136,0.0,0.2875022047879493,0.0,0.0
49,23.726675960787965,94,0.39166666666666666,0.013084374808961418,-0.052600604121103026,-0.35023561491698135,-0.48373558760224883,0.06279241363869795,0.1441179759259033,0.0,0.24092754007055878,0.0,0.0
50,21.99879848594323,87,0.3625,0.01395401530568588,-0.04637455087872809,-0.363740636604103,-0.49375483925827024,0.0609619240174759,0.11225288063660797,0.0,0.19752267435472004,0.0,0.0
51,20.320897170498775,83,0.3458333333333333,0.0148768563994319,-0.039397662490025215,-0.3758721605668015,-0.5015501045225936,0.05899050633184266,0.0820279369440816,0.0,0.15731119641941466,0.0,0.0
52,18.5976781543521,79,0.32916666666666666,0.016027143718243483,-0.033744619918183706,-0.3834782630147966,-0.507967006077032,0.05690162391812692,0.05984099084075133,0.0,0.11298485481821177,0.0,0.0
53,16.922819709586705,71,0.29583333333333334,0.017363810845781247,-0.027226446605412975,-0.38944167561202714,-0.5113091613484158,0.05469852618025525,0.0360024107391353,0.0,0.06886744399524497,0.0,0.0
54,15.356961002237256,69,0.2875,0.01879241677338736,-0.025391113314008246,-0.39117218178104235,-0.5159020655886123,0.052401702257777225,0.01350571032302557,0.0,0.03244540085562728,0.0,0.0
55,13.883772848872482,65,0.2708333333333333,0.020421429902518135,-0.02207063239576538,-0.3901289195793383,-0.5217685246005155,0.05004096221991901,0.0,0.0,0.0073100336862144495,0.0,0.0
56,12.580187307749842,58,0.24166666666666667,0.02220524085049244,-0.019431489956083178,-0.38239443082316277,-0.532522200582881,0.047640073407090686,0.0,0.0,0.0,0.0,0.0
57,11.595894715077906,55,0.22916666666666666,0.023627940846390125,-0.02576060740801053,-0.36555157644101544,-0.5424685686357036,0.04523485118658472,0.0,0.0,0.0,0.0,0.0
58,10.799773386281291,54,0.225,0.025163538670244866,-0.0363722219026431,-0.342444836919609,-0.5545725654751067,0.04288559632700335,0.0,0.0,0.0,0.0,0.0
59,10.322818034268595,48,0.2,0.026303871857911103,-0.05103189167447045,-0.31987203121465463,-0.569845942573416,0.04062199420423076,0.0,0.0,0.006756843011275875,0.0,0.0
