step,total_activity,P_activity
1,3.7783473190695007,0.0
2,6.876875417535006,0.0
3,9.943944845039937,0.0
4,12.794579532991843,0.0
5,15.317823007404659,0.0
6,17.718160475421737,0.0
7,20.103413360703527,0.0
8,22.608079730874753,0.0
9,25.356342942363362,0.0
10,28.383997247824365,0.0
11,31.74091689848089,0.0
12,35.08203748857231,0.0
13,38.43231153852742,0.0
14,41.45902176988377,0.0
15,44.09217294453185,0.0
16,46.325608194115105,0.0
17,48.06058973867029,0.0
18,49.2617684156244,0.0
19,49.85628852814463,0.0
20,49.84511887318424,0.0
21,49.48800063883576,0.0
22,48.918584142526946,0.0
23,48.202301892675955,0.0
24,47.415499261445404,0.0
25,46.759523640396814,0.0
26,46.15430263636524,0.0
27,45.48293563016369,0.0
28,44.75365313147694,0.0
29,44.01393057395771,0.0
30,43.383719376622736,0.0
31,42.8758658780853,0.0
32,42.41792654682581,0.0
33,42.094264425211534,0.0
34,41.8278317945393,0.0
35,41.61619838817897,0.0
36,41.49574834144487,0.0
37,41.42962962815486,0.0
38,41.40753768617488,0.0
39,41.4043578773149,0.0
40,41.415468829371854,0.0
41,41.429355987994036,0.0
42,41.44008072036678,0.0
43,41.49373805775075,0.0
44,41.572597439639424,0.0
45,41.71617467984122,0.0
46,41.93018207607476,0.0
47,42.14777867057053,0.0
48,42.37436889725964,0.0
49,42.6021637332267,0.0
50,42.82077666501343,0.0
51,43.02387801536533,0.0
52,43.20152863444328,0.0
53,43.33455688234964,0.0
54,43.40919644752077,0.0
55,43.431707886576476,0.0
56,43.435956800806196,0.0
57,43.42376629816436,0.0
58,43.39686739770883,0.0
59,43.36839468349139,0.0
60,43.34843818984663,0.0
61,43.33399327777189,0.0
62,43.31474432454594,0.0
63,43.288313262584666,0.0
64,43.253405059232506,0.0
65,43.2107543593267,0.0
66,43.15916761150109,0.0
67,43.10908592100216,0.0
68,43.04576638294046,0.0
69,42.94584460702616,0.0
70,42.83526834943669,0.0
71,42.69270546232224,0.0
72,42.549834461378595,0.0
73,42.366050896995546,0.0
74,42.14935492413323,0.0
75,41.97607312474805,0.0
76,41.78829353681432,0.0
77,41.62891623327186,0.0
78,41.54237830133056,0.0
79,41.47720428590106,0.0
80,41.437505899747336,0.0
81,41.428721741867705,0.0
82,41.45333756715383,0.0
83,41.50251848735412,0.0
84,41.56575677348716,0.0
85,41.634501971836116,0.0
86,41.700995895468196,0.0
87,41.767837990252985,0.0
88,41.83750253979625,0.0
89,41.91336684066652,0.0
90,41.99202999652897,0.0
91,42.079307314939655,0.0
92,42.14957643405171,0.0
93,42.20691715425218,0.0
94,42.26883265902612,0.0
95,42.346799227491616,0.0
96,42.46400209733934,0.0
97,42.61954028601425,0.0
98,42.80520171885206,0.0
99,43.00726954497781,0.0
100,43.23104200990911,0.0
101,43.44967093152568,0.0
102,43.6384525463655,0.0
103,43.79442244213355,0.0
104,43.92313522184794,0.0
105,44.0142372308983,0.0
106,44.06330619146783,0.0
107,44.07588893459855,0.0
108,44.04858528490514,0.0
109,43.98638521045491,0.0
110,43.8965758940255,0.0
111,43.764165811369594,0.0
112,43.577352190111455,0.0
113,43.330735433633635,0.0
114,43.0349339742821,0.0
115,42.802035105043686,0.0
116,42.56301200324271,0.0
117,42.36987684302721,0.0
118,42.16679024519642,0.0
119,42.018803143916415,0.0
120,41.920863238447126,0.0
