step,total_activity,P_activity
1,3.694911408996583,0.0
2,7.013986172785348,0.0
3,10.933685177001813,0.0
4,15.309280959204468,0.0
5,19.86554807194841,0.0
6,24.654641307435647,0.0
7,29.43404170587964,0.0
8,34.05842083883308,0.0
9,38.064144278247355,0.0
10,41.53623076864031,0.0
11,44.50718186596541,0.0
12,46.987717369384846,0.0
13,48.7441700290282,0.0
14,49.77831199808338,0.0
15,50.12261970575807,0.0
16,49.82235078859611,0.0
17,49.064812416612455,0.0
18,47.99201931955936,0.0
19,46.482487240921834,0.0
20,44.8824617647366,0.0
21,43.10056385209942,0.0
22,41.15468538916138,0.0
23,39.425579671776376,0.0
24,37.867022651709604,0.0
25,36.77979456187838,0.0
26,36.33998154198444,0.0
27,36.33144600693052,0.0
28,36.71137833299935,0.0
29,37.4093757638603,0.0
30,38.24900674478201,0.0
31,38.99888233379684,0.0
32,39.817636659516594,0.0
33,40.632349094543926,0.0
34,41.42066160110396,0.0
35,42.09286871760574,0.0
36,42.50280931075331,0.0
37,42.69094896091263,0.0
38,42.756235822311396,0.0
39,42.70748537341822,0.0
40,42.5292440438679,0.0
41,42.23578717679714,0.0
42,41.89616535380527,0.0
43,41.61587720508363,0.0
44,41.44574284465814,0.0
45,41.39356026185756,0.0
46,41.2953580024793,0.0
47,41.30835462348386,0.0
48,41.18815597229401,0.0
49,41.00002832854529,0.0
50,40.86954408456117,0.0
51,40.68716765512684,0.0
52,40.460454076572915,0.0
53,40.168088311288614,0.0
54,39.85581345007951,0.0
55,39.67462929036292,0.0
56,39.62951143843337,0.0
57,39.629591910412145,0.0
58,39.52714016965089,0.0
59,39.38537385071282,0.0
60,39.039274142234504,0.0
61,38.61450504800087,0.0
62,38.21827117889844,0.0
63,37.80760477223872,0.0
64,37.36370770393382,0.0
65,37.069725678392075,0.0
66,37.057118168336046,0.0
67,37.17115414869254,0.0
68,37.37057520355842,0.0
69,37.5767986232371,0.0
70,37.81895153450108,0.0
71,37.95891982212041,0.0
72,38.25615939043796,0.0
73,38.52235636272969,0.0
74,38.8207622816749,0.0
75,39.07902889247081,0.0
76,39.46548229437394,0.0
77,39.799351455461434,0.0
78,40.15662949849726,0.0
79,40.45280500180475,0.0
80,40.60583185089281,0.0
81,40.616528116194736,0.0
82,40.36281365896163,0.0
83,39.86053593024613,0.0
84,39.22370484822129,0.0
85,38.62659721926836,0.0
86,37.91394466705936,0.0
87,37.215905097205116,0.0
88,36.84787478233804,0.0
89,36.81920003208336,0.0
90,37.15702466933433,0.0
91,37.66298907149157,0.0
92,38.25606588951318,0.0
93,38.79951716073178,0.0
94,39.29241895608681,0.0
95,39.83903296525215,0.0
96,40.188697250773366,0.0
97,40.494512370381734,0.0
98,40.86518209654737,0.0
99,41.173836537750034,0.0
100,41.400900587303326,0.0
101,41.671311025543496,0.0
102,41.93130389998768,0.0
103,42.06813405922102,0.0
104,41.9967515666155,0.0
105,41.6669066814551,0.0
106,41.03118214396693,0.0
107,40.08529426705089,0.0
108,38.94903894240043,0.0
109,37.93388713419395,0.0
110,37.04455331269989,0.0
111,36.67543916716196,0.0
112,36.59556707286323,0.0
113,36.85267717039807,0.0
114,37.14109937005799,0.0
115,37.584033251948384,0.0
116,37.95019149432902,0.0
117,38.22849205266684,0.0
118,38.689716394566474,0.0
119,38.92886921542696,0.0
120,39.14445826156219,0.0
