brain,repetition,cue,experience_strength_sum,experience_strength_mean
1,1,A,147.7158792028372,0.6154828300118216
1,1,F,156.76162846839827,0.6531734519516594
1,2,F,160.3960942301629,0.6683170592923454
1,2,A,152.14994524759325,0.6339581051983052
1,3,A,155.09567539540686,0.6462319808141952
1,3,F,164.7172144501204,0.6863217268755016
1,4,F,168.0831452522977,0.7003464385512405
1,4,A,158.55900300809137,0.660662512533714
1,5,A,161.24455332515103,0.6718523055214626
1,5,F,171.4518371534237,0.7143826548059321
1,6,F,174.41358654591625,0.726723277274651
1,6,A,163.99968350790826,0.6833320146162845
1,7,A,166.44267071996398,0.6935111279998499
1,7,F,177.0266449447661,0.7376110206031921
1,8,F,179.7864620205469,0.7491102584189454
1,8,A,168.62258125531054,0.7025940885637939
1,9,A,170.8974178700209,0.7120725744584203
1,9,F,181.90355481376392,0.757931478390683
1,10,F,184.49696052147695,0.768737335506154
1,10,A,172.66947342437106,0.7194561392682127
1,11,A,174.79208396822582,0.7283003498676076
1,11,F,186.21711916125219,0.7759046631718841
1,12,F,188.6787392038626,0.7861614133494275
1,12,A,176.23488748225316,0.7343120311760548
1,13,A,178.2015962859569,0.7425066511914871
1,13,F,190.094694264421,0.7920612261017542
1,14,F,192.41495588306975,0.8017289828461239
1,14,A,179.39236006270386,0.7474681669279327
1,15,A,181.29070384591694,0.7553779326913206
1,15,F,193.59596276144765,0.8066498448393652
1,16,F,195.78064681947285,0.8157526950811369
1,16,A,182.27180655858547,0.7594658606607728
1,17,A,184.10625449147972,0.7671093937144988
1,17,F,196.77745982869396,0.8199060826195582
1,18,F,198.8792202087057,0.8286634175362738
1,18,A,184.9500238405879,0.7706250993357829
1,19,A,186.71470788355762,0.7779779495148235
1,19,F,199.7397733673377,0.8322490556972404
1,20,F,201.7719836347244,0.8407165984780183
1,20,A,187.44095969526097,0.7810039987302541
1,21,A,189.16056026294007,0.7881690010955836
1,21,F,202.53988835963045,0.8439162014984603
1,22,F,204.49110342319563,0.8520462642633151
1,22,A,189.79236714117152,0.7908015297548814
1,23,A,191.46549692837576,0.7977729038682323
1,23,F,205.1791803386326,0.8549132514109691
1,24,F,207.10639179111428,0.8629432991296428
1,24,A,192.02416178280086,0.8001006740950036
1,25,A,193.67153898542222,0.8069647457725926
1,25,F,207.72732379527122,0.86553051581363
1,26,F,209.63637679260242,0.87348490330251
1,26,A,194.16804704579755,0.8090335293574898
1,27,A,195.79488706456254,0.8158120294356773
1,27,F,210.20894177987128,0.8758705907494637
1,28,F,212.09815393278384,0.883742308053266
1,28,A,196.24041948857632,0.8176684145357347
1,29,A,197.8432422631625,0.824346842763177
1,29,F,212.6283560060412,0.885951483358505
1,30,F,214.511245696355,0.8937968570681458
1,30,A,198.2503441640235,0.8260431006834312
1,31,A,199.81838945049682,0.8325766227104034
1,31,F,215.0005221636102,0.8958355090150426
1,32,F,216.87576886784524,0.9036490369493552
1,32,A,200.201883140181,0.8341745130840875
1,33,A,201.73598996520764,0.8405666248550319
1,33,F,217.33459046928405,0.9055607936220169
1,34,F,219.2249447779242,0.9134372699080175
1,34,A,202.100777900386,0.8420865745849416
1,35,A,203.59367531157415,0.8483069804648923
1,35,F,219.65680723188356,0.9152366967995148
1,36,F,221.54538613986614,0.9231057755827756
1,36,A,203.95055009723927,0.849793958738497
1,37,A,205.41606820957867,0.8559002842065778
1,37,F,221.95111699264558,0.9247963208026899
1,38,F,223.8198651453144,0.93258277143881
1,38,A,205.75705003418676,0.8573210418091115
1,39,A,207.20688620425685,0.8633620258510702
1,39,F,224.214703395907,0.9342279308162792
1,40,F,226.04827319510017,0.941867804979584
1,40,A,207.5268758955074,0.8646953162312808
1,41,A,208.96810004461128,0.870700416852547
1,41,F,226.427435487796,0.9434476478658167
1,42,F,228.2201212128952,0.9509171717203967
1,42,A,209.27670380126153,0.8719862658385897
1,43,A,210.7131981162574,0.8779716588177391
1,43,F,228.62255660665275,0.9525939858610531
1,44,F,230.39901553256664,0.959995898052361
1,44,A,211.0503072834764,0.8793762803478183
1,45,A,212.49567820612742,0.8853986591921976
1,45,F,230.82683906079635,0.9617784960866514
1,46,F,232.60438820921064,0.969184950871711
1,46,A,212.85303773780623,0.8868876572408593
1,47,A,214.31913229779215,0.892996384574134
1,47,F,233.05685904131946,0.9710702460054977
1,48,F,234.82028661544052,0.9784178608976688
1,48,A,214.68819646401673,0.894534151933403
1,49,A,216.13453711594025,0.9005605713164176
1,49,F,235.26213837415656,0.980258909892319
1,50,F,237.00293420733018,0.9875122258638758
1,50,A,216.491035760222,0.9020459823342583
1,51,A,217.90306883005096,0.9079294534585457
1,51,F,237.43124160890665,0.989296840037111
1,52,F,239.15393694036223,0.9964747372515093
1,52,A,218.24980983264692,0.9093742076360288
1,53,A,219.63757811400814,0.9151565754750339
1,53,F,239.55676014307292,0.9981531672628038
