step,total_activity,active_nodes,center_x,center_y,center_z,A_mean,B_mean,C_mean,D_mean,fired_nodes
1,0.9268319818969365,11,0.9613238684834561,-0.029273571324989905,-0.11062952726958192,0.20762828413933343,0.0,0.0,0.0,
2,0.4031904585425411,9,0.9390607951064355,-0.029255880132606632,-0.1081908653628696,0.05003714389522936,0.0,0.0,0.0,
3,0.13185789712654233,0,0.8963029762070781,-0.029188110237599155,-0.10371570013236271,0.0,0.0,0.0,0.0,
4,0.037662862083968615,0,0.8393142927148715,-0.02861734447569317,-0.09833739842611369,0.0,0.0,0.0,2.045950837755246e-07,
5,0.008946597516122094,0,0.7444664694160801,-0.027101961907950976,-0.08755435539215262,0.0,4.4911297226116355e-08,0.0,4.9989090681116e-07,
