brain,checkpoint,mode,cue,mean_lifetime,mean_active_fraction,mean_concentration,trial_similarity,mean_total_activity,own_experience_similarity,other_experience_similarity,cue_selectivity,A_vs_F_pattern_similarity,separation_gain_over_control,mean_direction,mean_capacity
1,0,control,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.0,0.0,0.0,0.34210423552307684,0.0,1.0,0.42
1,0,control,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.0,0.0,0.0,0.34210423552307684,0.0,1.0,0.42
1,0,trained,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.0,0.0,0.0,0.34210423552307684,0.0,1.0,0.42
1,0,trained,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.0,0.0,0.0,0.34210423552307684,0.0,1.0,0.42
1,100,control,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.0,0.0,0.0,0.34210423552307684,0.0,1.0,0.42
1,100,control,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.0,0.0,0.0,0.34210423552307684,0.0,1.0,0.42
1,100,trained,A,120.0,0.7983333333333332,0.005887285565657181,1.0,48.516588147507036,0.7512518401819258,0.7323198559606345,0.018931984221291276,0.6011130236561154,-0.25900878813303857,1.4421850126203133,0.45073389029558913
1,100,trained,F,120.0,0.7516666666666666,0.006400988175687801,1.0,51.06201033270693,0.8641136946184796,0.5486455264962097,0.31546816812226997,0.6011130236561154,-0.25900878813303857,1.4421850126203133,0.45073389029558913
1,200,control,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.0,0.0,0.0,0.34210423552307684,0.0,1.0,0.42
1,200,control,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.0,0.0,0.0,0.34210423552307684,0.0,1.0,0.42
1,200,trained,A,120.0,0.5741666666666667,0.008157566693814747,1.0,32.204295715995556,0.5716829019757323,0.6527319393968232,-0.08104903742109082,0.4967309153868816,-0.15462667986380474,1.7638524826859596,0.45305584356062045
1,200,trained,F,120.0,0.3258333333333333,0.016032200655875947,0.9999999999999998,16.417087510981087,0.20158619902699798,0.5483085352161484,-0.34672233618915044,0.4967309153868816,-0.15462667986380474,1.7638524826859596,0.45305584356062045
1,300,control,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.0,0.0,0.0,0.34210423552307684,0.0,1.0,0.42
1,300,control,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.0,0.0,0.0,0.34210423552307684,0.0,1.0,0.42
1,300,trained,A,120.0,0.5916666666666667,0.00817114839504732,0.9999999999999998,38.86665231270491,0.6836464877160976,0.5326417922864282,0.15100469542966943,0.14880362573174152,0.19330060979133531,1.905466576494157,0.4538448769785702
1,300,trained,F,120.0,0.5025,0.009212577571569014,1.0000000000000002,26.373745590681068,0.5519248584528907,0.6314844791336012,-0.07955962068071043,0.14880362573174152,0.19330060979133531,1.905466576494157,0.4538448769785702
1,400,control,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.0,0.0,0.0,0.34210423552307684,0.0,1.0,0.42
1,400,control,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.0,0.0,0.0,0.34210423552307684,0.0,1.0,0.42
1,400,trained,A,120.0,0.5766666666666667,0.008218336589462374,1.0000000000000002,39.97178802524198,0.6371411675269053,0.6087330460420982,0.028408121484807092,0.05365074542396046,0.28845349009911636,1.9569865427731383,0.4540733744296091
1,400,trained,F,120.0,0.4525,0.010544909737187429,1.0,31.275287673761035,0.5936793203734467,0.6043959681245945,-0.010716647751147779,0.05365074542396046,0.28845349009911636,1.9569865427731383,0.4540733744296091
1,500,control,A,120.0,0.4841666666666667,0.010359005604719787,1.0,30.26441068156754,0.0,0.0,0.0,0.34210423552307684,0.0,1.0,0.42
1,500,control,F,120.0,0.48583333333333334,0.01025055493963963,1.0,29.804790403366937,0.0,0.0,0.0,0.34210423552307684,0.0,1.0,0.42
1,500,trained,A,120.0,0.46749999999999997,0.010112486553332536,1.0000000000000002,28.095794808654134,0.2923686151522202,0.7357993310453466,-0.4434307158931264,0.1939158607776644,0.14818837474541244,1.975865864127497,0.4539756278468785
1,500,trained,F,120.0,0.37249999999999994,0.013893119146713179,0.9999999999999998,21.16331920088249,0.3917632102113817,0.5168950602963353,-0.12513185008495353,0.1939158607776644,0.14818837474541244,1.975865864127497,0.4539756278468785
